# 日常高频词组库（jieba 词频≥200 自动生成，86 全码规则，5239 词）
aaaw 葡萄牙人
gyfk 严义埙
gyfp 不为过
gygy 琉璃 斑斑
gyic 王诚汉
gyip 天文学 天文学家
gyjg 不论是
gyoo 王永炎
gyoy 平方米
gyuj 玉音 一夜间
gyuu 政府部门
gywf 武敦儒
gywt 不为人知
hamm 虎山
hcaf 皮鞋
hcbb 皮子
hdfq 上万元
hdgh 卢邦正
helg 战胜国
hgwx 卢瑞华
hhfj 上朝
hhhc 上皮
hhkk 上品
hhlg 上车
hhmq 上风
hhrh 上爬
hhsu 上校
hhtf 上行 上街
hhtj 上篮
hhud 点点头
hhuq 上将 上交
hhym 上调
hhyn 上房
hhyy 上访
higj 叔惠
higx 雌激素
hihi 叔叔 步步
hiyp 卜学亮
hjfh 旧址
hjws 皮日休
hket 战胜
hkkh 点中
hklg 战车
hkoo 战火
hkqt 点儿
hkte 战船
hkud 点头 点着
hkxg 战绩
hlcq 卤鸡
hlnt 战略性
hokk 点火器
hpid 瞿家湖
hpiy 上官洲
hpwf 旧社会
hqqn 餐馆
hqta 卢象升
hrjg 步兵师
huuk 战斗部
hwee 上个月
hwhw 瞧瞧
hwrv 占优势
hwyq 卢俊义
hxif 此法
hxyt 此话
hxyy 此言
hyut 紫文道
iadh 江夏
iadm 江面
iaee 江豚
iafd 江城
iaia 洪涝
iaic 江汉
iaid 洪湖
iaii 洪水 江水
iais 潇湘 江河
iait 江海
iaiy 满洲 洪流 波斯湾 江流 浇注
iakk 满口
iamm 洪山
iaqt 江猪
iauk 汇兑
iaut 江道
iaux 漠北
iawd 江段
iaww 灌丛
iayn 汤若望
iayq 江底
iayy 满文
ibfd 洛阳城
ibid 梁子湖
ibim 池际尚
ibkh 学院路
ibld 洪承畴
ibpl 汉阳军
ibwc 梁子翁
ibyw 汉阳府
icbm 渗出
icfj 汉朝
icgg 汉王
icii 汉水
ickt 汉川
icty 渗入
icwf 流通领域
idic 江夏治
idii 湖水
idiq 沈春耀
idkh 湖中
idmd 泥灰岩
idqt 洛克希德
idsg 湖西
idst 小石桥
iefj 池月堤
iemy 汤用彤
ievt 汪爱群
ifff 清真寺
ifhk 游击战
ifhq 游击战争
ifii 潜水 污水 潮水
ifiq 潮汐
ifit 渤海
ifpf 常规赛
ifpg 梁孝宣 法宝
ifsg 江南西
ifww 当地人
igai 浦东
igia 清江
igii 浅水
igit 浅海
igkq 清史
igpl 清军
igpu 清初
igrg 清兵
igrv 清热
igup 汉武帝
igww 清人
igwy 溥仪
igyw 清政府 省政府
ihaw 泪花
ihbb 婆子
ihcn 小马
ihey 波及
ihha 小觑
ihih 婆婆
ihkh 小路
ihkq 小史
ihmh 小贝
ihqg 小鱼
ihqt 小儿
ihqy 小岛
ihrh 小牛
ihss 小林
ihuq 小将
ihvv 小女
ihxt 小张
iidi 水泵
iiek 水肿
iifb 水源地 沼泽地 淡淡地
iiff 沙土
iifl 水雷
iifn 水声
iihq 海湾战争
iiic 汪潮涌
iiid 沙湖
iiim 水洞
iiip 水深
iiiq 水泡
iiis 沙河
iiiy 沙湾 江波渡 沙洲 水溶液
iijg 水师
iike 沙咀
iikh 水路 消遣
iikk 小河口 沙口 激光器
iikq 小河口镇
iint 水性
iiqe 水解
iiqg 淡水鱼 鲨鱼 沙鱼
iiqn 沙包
iirg 沙皇
iirq 淡淡的
iiss 肖鸿林
iitg 水生
iitr 污染物
iiut 水道
iiwg 汉江全
iiwu 沙僧
iiym 汤洪高
iiyp 肖海亮
iiyy 浪漫主义
ijdw 常遇春
ijid 水果湖
ijiq 梁曙光
ijrv 湿热
ijya 湿度
ikuh 汉口站
ilbw 法国队
ilww 法国人
ilyt 沈国放
imaw 油茶
imde 尚有
imdi 油砂
imet 沿用
imga 洞开
imis 沿河
impw 洞穴 洞窟
imqh 省内外
imqn 油饰
imsp 油榨
imud 汕头
imww 油价
imxg 沿线 汉丹线
inii 泥沙
inio 活性染料
insv 汪习根
inyj 染发剂
ipan 学艺
ipbq 深陷
ipdj 浓厚 浑厚
ipfj 沉井
ipgc 学到
ipge 常青
iphh 堂上
ipif 掌法
ipip 常常 学堂 沉淀 深沉 堂堂 淙淙 尝尝 沉沉
ipir 学派
ipit 滨海 深海 学海
ipiv 沉浸
ipkk 滋补品
ipkm 党员 学员
ipln 沉思 沈思
ipmq 党风 学风
ipmt 池宇峰
ipmw 肖家岭
ipng 深情 堂屋
ipnu 演习
ipny 赏心
ippw 深邃
ipqg 掌印
iptd 党籍
ipte 沉船
iptf 常德 学徒
iptg 沉重 浓重 深重
iptj 沉香
iptm 浑身
iptv 常委
ipud 觉着
ipuj 党章
ipwv 江家岔
ipww 深谷 党人
ipwx 演化
ipwy 常住 深信
ipya 深度 浓度
ipyk 赏识 学识
ipyt 常州
ipyu 学说 演说
ipyw 学府
iqfn 渔场
iqgk 光速
iqia 沟渠
iqic 汹涌
iqid 光源
iqii 浠水
iqoq 小钢炮
iqte 渔船
iqtj 光复
iqww 光谷 渔人
irae 小白菜
irai 浙东
irii 汽水
irqu 少年儿童
irtx 法拉第
isai 河东
isbb 小桂子 河子
iscn 淋巴
isdd 河套
isfc 湘云
isfp 酒壶
isft 脊椎动物
isfy 河西走廊
isid 河湖 河源
isii 河水
isiy 河湾 漂流
iskk 湘鄂 漆器
isqg 河鱼
isrq 掌柜的
isrv 河势
issc 漆树
issg 河西 湘西
isud 河头
isuj 江醉章 河间
isux 湘北
itai 海藻
itaq 省区 海区
itat 水利工程
itee 海豹
itfb 海地
itfc 海运 洗劫 浩劫
itfh 省直
itgm 海瑞
itis 海河
itit 活活
itiy 海湾 海浪
itje 沙复明 潘粤明
itjf 海里 省里
itjl 涂黎曼
itmw 省内
itny 党委书记
itqh 省外
itqt 活儿
ittr 沉积物
itud 活着
ituq 少将 海盗
itvv 少妇
itwf 常委会
itwv 海盆
itww 活人
ityn 涂长望
iuab 沈辛荪
iuid 水资源
iuih 洪凌波
iuit 湖北省委
iuiu 滚滚 滋润
iunn 水产局
iuog 水产业
iuss 混交林
iutl 洋务
iuud 潼关
iuww 掌门人
ivas 汤姆斯杯
ivbj 当阳
ivfm 津南
ivqt 当儿
ivtf 当先
ivud 当着
iwbb 举子
iwdx 汤化龙
iwfh 兴起 举起
iwli 流体力学
iwlw 兴办
iwmm 兴山
iwyl 沦为
iwyt 沧州
ixal 江纳苗
ixep 沈绿爱
ixup 光绪帝
iyai 流落
iybb 游子
iyeg 小康县
iyfc 游动
iyfh 梁启超
iyfm 游击
iyia 渡江
iyid 洞庭湖
iyii 流淌
iyiy 流浪
iyjt 游览 流星
iykh 学府路 汉施路
iykt 汶川
iyma 流贼
iytf 游行 游街
iytk 淤积
iytm 流向
iyty 流入
iyut 常言道
iyws 流体
iyym 沙市市
iyyn 流亡 游记
jabw 申花队
jace 肾功能
jadi 师范大学
jais 师范学校
japf 明世宗
jatf 暴徒
jatj 晓得
jbhk 电子战
jbip 最深
jbli 量子力学
jbmw 电子邮件
jbnn 电子书
jbut 电子商务
jbyy 冒险主义
jdbd 明太子太
jdbj 晒太阳
jdpy 明太祖
jekk 明器
jekq 明史
jeqt 明儿
jetd 明知
jeyg 盟主
jfdm 时而
jfgk 时速
jfsm 电动机
jfwf 时会
jfww 时人
jgam 明武英
jgbb 虾子
jgfj 明王朝
jgfy 晴雯
jggw 明玉珍
jgip 明末清初
jgjg 师师
jgwf 监事会
jgwq 师爷
jhaw 申花
jhce 畅通
jhsc 监督权
jiga 明洪武
jjab 电影节
jjiq 日光
jjjj 日日
jjkh 易贤忠
jjrq 暖暖的
jjyy 日方
jpuk 明礼部
jpwf 鉴定会
jqjq 歇歇
jqnh 申包胥
jqud 紧急状态
jsgy 日本政府
jslw 日本国会
jsuu 紧要关头
jteg 监利县
jtgf 星球
jtim 监测
jtpw 监察 星宿
jtqt 昨儿
jtrp 临近
jttj 监利
jtud 临头
jtyw 昨夜 星夜
juth 暗算
jvbw 归附
jvwt 归侨
jvyt 归州
jwmm 昆仑山
jybb 蚊子
jyhk 最高点
jynf 电离层
jyss 明文禁
kabb 叶莲子
kady 哈萨克族
kakm 中共中央
kaqg 鄂菜鱼
katg 吴燕生
kawf 吴基传
kcbg 鄂豫陕
kcpy 路甬祥
kdlg 吴邦国
kdut 喊道
kdyt 鄂三州
keft 哺乳动物
keso 吊脚楼
kfkf 喃喃 哇哇
kfvy 叶二娘
kgdc 史天雄
kgeg 吴县
kgss 吴楚
kgto 叶碧秋
kgwy 吴仪
kgyt 郢州
khai 跌落
khaq 中欧
khbb 中子 蹄子
khbj 中阳
khbm 跃出
khce 中能
khdh 趴在
khff 中土
khfh 遗址 跃起
khfj 踏进 跳进
khfn 中场 蹄声
khfp 跨过
khgf 忠于
khgh 跪下 足下 蹲下
khgp 只此一家
khhh 踏上 跃上 跟上 中止
khip 中常 中堂
khiy 中洲
khjt 中星
khkh 足足
khlg 跨国
khlp 嘴边
khmq 足见
khny 忠心 足以
khpu 踏实
khsg 中西
khtf 中行
khtk 中和 中程
khty 跃入
khul 中曾
khut 跑道
khvf 中建
khwg 跪倒 遣使
khwt 路途
khww 贵人 中人
khxg 中线
khyo 遗迹 踪迹
khyt 贵州
kiit 中小学生
kikk 吴淞口
kikm 吴少勋
kimt 叶海峰
kiyq 吴汝义
kjes 喝采
kkfb 呆呆地
kkfn 哭声
kkjf 口里
kkkf 口味
kkkk 咒骂
kklh 器皿
kkrp 鄂皖
kkst 吕忠梅
kktf 品行
kkuj 口音
kldi 中国大学
klgf 中国政协
klkf 中国足协
klkl 嘿嘿
klwn 跨国公司
klww 吴国伦
kmeg 郧县
kmgy 中央政府
kmip 中山堂
kmkh 中山路
kmpt 中央军委
kmte 吊舱
kmtk 中央委员
kmws 中央集权
kndc 别必雄
knfn 叫卖
knit 中书省
knwx 叫化
knyt 哈尼族
koll 吨粮田
kolq 喽罗
kpdr 喻家碑
kppg 吴定富
kqip 史学
kqkf 哆嗦
kqyy 史方
krlf 听罢
krww 听从 中年人
ksdg 器材厂
ksif 史可法
kspx 中枢神经
kspy 喻林祥
ktfn 响声 吃亏 吴德馨
ktis 吃酒
ktkj 呼喝
ktkt 咚咚
ktth 呼延
kttj 吴香香
ktyi 呼应
kumq 中新网
kuws 中间体
kvip 叶如棠
kvkv 唧唧
kvwv 叶君健
kwam 叶剑英
kwdi 哈佛大学
kweb 吴佩孚
kwip 遗传学
kwjf 哈里
kwkw 吩咐 嗡嗡
kwnn 中华书局
kwny 中华民族
kwqg 中华鲟
kwtq 中华和钟
kxro 嚣张气焰
kyce 吴应熊
kyky 哼哼
lafn 园艺场
laww 国共合作
laxi 加勒比海
lbbw 国际队
lbdg 边孤石
lbkh 田承忠
lbnt 国际性
ldad 迦太基
ldfd 固城
ldgo 贺龙来
ldgt 连成一片
ldip 国大党
ldww 恩人
ldyt 恩施
lfam 田震英
lfbb 团子
lffc 转运
lffd 团城
lffu 转增
lfgj 四十五里
lfgk 黑豆
lfhk 黑点
lflf 团团
lfpe 回老家
lfqd 默然
lfqg 黑鱼 墨鱼
lfqk 罢免
lfrh 四十年
lfrr 转折
lfsg 车城西
lftm 转身 置身
lfud 围着
lfws 罢休
lfwy 转念
lfye 黑衣
lfym 罢市
lfyo 转弯
lfyw 黑夜
lgap 罗亚蒙
lgbw 车队
lgfd 车城
lggh 国政 辅政
lggk 国事
lgkk 加速器
lglw 国界
lgpv 国安
lgrv 国势
lgth 办事处
lgtk 车程
lgtm 车身
lgtu 田玉科
lgug 国美
lgut 国道
lguy 国门
lgwf 默不作声
lgws 车体
lgya 加速度
lgyd 贺一诚
lgyg 国语
lhad 甲基
lhkh 四中
lhkk 四品
lhkw 四只
lhlu 四圈
lhny 四尺
lhpe 四家
lhsg 甲醚 甲醛
lhtk 四种
lhts 四条
lhuj 转眼间
lhuq 四次
lhuy 四门
lhwq 四爷
lhwu 四位
lhwv 四分
lhxe 甲级
lhxw 四纵
lhyl 四库
lift 罗汝才
lism 加油机
list 罗小梅
liyx 辍学率
ljpe 田归农
lkfp 回过
lkgk 回事
lkhh 架上
lkiy 回游
lklg 驾车
lkme 回鹘
lknn 回忆
lkta 加筑
lkww 四中全会
lkym 架设
lkyt 回族 回旋 加州
lkyy 回廊
llfb 轻轻地
llrq 圆圆的
lmte 田见秀
lngy 国民政府
lnnt 国民收入
lnst 连心桥
looo 贺炳炎
lpaq 边区
lpbw 国家队
lpfy 罗家墩
lpip 田福堂
lpjc 田福贤
lppl 田福军
lpsu 国家机关
lpxf 边疆 连结
lpya 国家计划
lqga 圆锥形
lqpe 罗家
lsaa 园林式
lsad 恩格斯
ltbw 国务院令
ltfs 田长霖
ltjg 辐射量
ltmy 图丹
ltoh 田长焯
ltue 田秉毅
ltya 图谋
ltyg 力主
ltyl 图库
ludd 较大
luqf 图道多吉
lwat 软件工程
lwdx 贺人龙
lwiq 田伯光
lwlf 软件园
lwmw 界岭
lwpg 界定
lxnt 连续性
lyyt 恩施州
maad 周芷若
maib 由藕池
mcmm 凤山
mdfh 岩盐
mdhh 岸上
mdop 岑春煊
mdrh 几百年
mdrt 几百斤
mebb 骰子
megh 山脚下
meme 骨髓 骷髅
mfdn 几十万
mffg 周二
mfgg 周五
mflf 周转 财团
mfpe 周家
mfpy 周礼
mfqf 山寺镇
mfrh 几十年 财年
mfrt 几十斤
mfsu 雕栏
mfwc 周培公
mfwf 周坤仁
mfwh 几十个
mgbw 丹麦队
mgfm 凤天南
mgfn 同声
mgig 周玉清
mgtf 同等
mgww 贱人
mgxd 邮政编码
mgyd 周正庆
mhbb 帽子
mhsm 由此可见
mhud 贴着
midg 贝海石
miih 周少波
mikk 丹江口
mjwf 同盟会
mmff 册封 山墙
mmgw 山珍
mmjf 山里
mmjy 山影
mmmm 凤凰山
mmqf 山镇
mmrg 山后
mmss 山麓
mmud 山头 山羊
mmue 山前
mpid 周家湖
mqbw 网队
mqdm 网页
mqee 风貌
mqfn 风声
mqgf 见于
mqgk 风速
mqhw 网具
mqii 风沙
mqiy 风浪
mqmq 见见 飓风
mqvt 周逸群
mqwx 风化
mqyy 见方
msqt 周森锋
msss 山粟林
mtbp 邮科院
mtfg 败坏
mtfn 几块
mthv 几眼
mtkk 几口
mtmt 峰峰
mtpe 几家
mtqk 几名
mtrh 几千年
mtsg 几杯 山自西
mtsv 几根
mtth 几处
mtut 几道
mtwa 几代
mtwu 几位
mtyn 账户
mumw 山羊肉
mvqt 凤姐儿
mwam 周仲英
mwbb 岭子
mwce 周伯通
mwdc 周传雄
mwfd 内城
mwin 内分泌
mwip 几何学
mwqk 几分钟
mwwf 内侍
mxic 网络游戏
mxwg 周纯全
mxxa 周继红
myjg 凯旋归来
nagh 殿下
nagk 懂事
naip 殿堂
nany 民心
nape 收藏家
nauj 民意 惬意
naww 民俗
nbkh 民院路
ncfp 司马懿
ncww 怪人
ncyq 司马义
ndds 发布厅
ndkh 剧中
ndpy 剧社
ndsc 发布权
ndvn 屠龙刀
ndwt 剧作
nern 发脾气
nfga 改进型
nfnv 愤恨
nfyw 悖论
ngip 心理学家
ngjf 屋里
ngmw 屋内
ngng 怦怦
ngpw 司空
ngqh 屋外
ngtj 恨不得 怪不得
ngud 情状
ngww 情欲
ngwy 司令
ngxf 情结
nhwy 悼念
nijr 尉沐昕
niqd 恍然
niuk 司法部
nkxx 性别比
nlfj 民办教师
nmnm 刷刷
nncm 发展观
nndm 局面
nndn 已成
nnfb 悄悄地
nnfd 书城
nngf 习惯于
nnhh 书上
nnkq 发展史
nnnn 快快
nnrj 买买提
nnrq 悄悄的
nnsg 乙醇 乙醚
nnsr 恰恰相反
nntd 已知
nnte 快船
nnwy 书信
nnyn 书房
nnyy 己方
npib 习家池
npjt 司礼监
nptv 发审委
nstw 必要条件
ntet 改用
ntfb 发生地
ntfc 改动
ntga 改型
ntgf 羽毛球
ntgh 属下
ntit 性生活
ntkk 飞行器 发射器
ntmh 改由
ntnl 尾翼
ntnt 懊悔 忏悔
ntpg 改写
ntrn 发掘
nttf 改造 履行
ntth 发自
nttp 心血管
ntud 改善 性状
ntug 性病
ntuk 尾部
ntvh 尽管如此
ntyn 羽毛扇
nucn 飞马
nuft 买者
nugo 飞来
nulg 改装车
nulk 飞架
nusm 收音机
nute 飞船
nutm 飞身
nuty 飞往
nuyx 发病率
nwde 惟有
nwnu 怜悯
nwtf 尉健行
nwww 发信人
nyaw 民主革命
nyey 心脏
nyfc 惊动
nygc 以至
nyhh 心目
nyig 居文沛
nyii 民主党派
nyjh 迟早
nyjt 尼摩星
nykh 心跳
nyna 惊慌
nyng 尽情 心怀
nyny 心惊 尽心
nyth 书记处
nytl 以备
nyud 尽头
nywf 民主人士
nywy 心念
nyxt 民族乡 惊疑
nyya 尺度
nyyy 民主主义
oagq 烧死
oaof 烘烤
oaqs 烧杀
oarm 烧制
odrh 数百年
ofdn 数十万
ofqg 烤鱼
ofwh 数十个
ogte 粳稻
ogxq 精绝
oipe 数学家
oirm 炒制
ojuh 火电站
omkk 火山口
omwf 业内人士
onon 熠熠
ooaw 爆米花
oooa 火烧
oooq 火炮
ooow 糯米粉
ooqn 糯米饭
oorv 炎热
opwx 数字化
oqoo 炮火
otrh 数千年
otxu 火箭弹
ovdy 数丈
ovhi 数步
ovjf 数里
ovrv 数招
owab 粉蒸
owpy 米公祠
owwt 粮食作物
oyag 米芾
oyog 米业
oyqc 糖色
payt 安七州
pbga 字型
pbqt 字儿
pbud 字头
pddp 宏达
pddt 祖大寿
pdgq 害死
pdkk 突破口
pdpy 祖右社
pdud 寡头 寄养
pdyg 寄主
pdyx 完成率
peam 宜黄
peet 农用
pefd 宜城
peft 宜都
pefw 农夫
pehw 农具
peog 家业
pepe 家家
peww 宜人
peym 家庙
peyt 家族
pfgk 赛事
pfif 宗法
pfny 冠以
pfpl 守军
pfst 宋远桥
pftl 守备
pftr 守御
pfwf 宋教仁
pfyg 农场主
pgad 宝藏
pgga 宣武
pggf 富于
pggh 定下
pghk 宣战
pgib 军事法院
pgii 富水
pgit 宝海
pgkh 富贵
pgnn 宋青书
pgog 宝业
pgpe 富农
pgtf 宣德
pguk 农副产品
pguy 宣武门
pgwf 安理会
pgwy 富含 富集
pgxy 宣统
pgyn 富户
pgyw 军政府 定论
pijg 容水量
pjvi 宋照肃
pjyy 寓言
plaq 军警
plid 官田湖
plit 农田水利
pltl 军务
plwy 军售
pnfy 农民起义
pnmm 官山
pnqt 官儿
pnrm 官制
pnww 官人
pnxj 官绅
pnya 密谋
poaq 农业区
ppie 神农溪
ppnx 空空导弹
ppqi 农家乐
ppuy 安定门
ppyy 密密麻麻
pqmm 祝铭山
prdj 宗朱厚
priy 神皇洲
prng 宣抚司
prwg 宣抚使
prwu 官兵们
pryn 牢房
psfq 宁远
ptbw 实德队
ptfy 初等教育
ptis 被选举权
ptpf 宪宗
ptwf 军委会
ptww 被告人
ptyn 客房
ptyp 宰牲亭
puai 完颜萍
pubb 被子 袖子 裙子 袜子 袍子
pujf 初时
pukh 初中
pukk 农产品 家门口
pukn 被叫
punt 实属
pupk 寝宫
pupu 被褥
puqc 褐色
pusc 审判权
putf 被告 补选 实德
putl 补血
puuq 初次
puws 裸体
puyg 被评
puyt 实话
pvag 安葬
pvmw 安内
pvwg 案例
pwbb 帘子
pwdx 空袭
pwfh 突起
pwim 窑洞
pwip 社会学 社会党 社会学家
pwkk 容器
pwlw 客货轮
pwmt 鹤峰
pwnn 安全局
pwnt 安全性
pwpw 窟窿
pwrm 空投
pwrt 空手
pwry 社会制度
pwti 社会科学
pwue 窗前
pwuj 究竟
pwuk 宣传部
pwut 穴道 社会关系
pwwb 社会保障
pwwu 穴位
pwyt 容许
pwyw 宗人府
pwyy 官僚主义
pxbw 初级阶段
pxfq 神经元
pxif 被统治者
pxtx 神经系统
pyce 神通
pygo 福晋
pyhw 宋庆龄
pyip 礼堂 神学 祠堂
pyjg 祖师
pyjt 福临
pylf 审计署
pypv 福康安
pyqi 礼乐
pyqv 福银
pyrn 福气
pyta 审计长
pytd 神智
pyuj 神韵
pyut 神道
pywf 宣讲会
pywq 神像 神父
pyxg 祖母
pyyt 福州 神州
qagp 钱其琛
qakq 鸱吻
qaqc 金黄色
qayg 印欧语
qbad 钟子期
qbbj 钟阳阳
qbgo 凶恶
qbmm 狮子山
qbnt 危险性
qbqt 凶狠
qcsg 色酚
qdgo 鲍春来
qdkk 危品
qdwv 钟万仇
qdyn 危亡
qeap 钟朋荣
qejg 解题
qeww 希腊人
qfai 邹远东
qffy 多吉才让
qfia 钱塘江
qfpg 金元宝
qfvi 钱运录
qgaw 鱼花
qgdr 鱼原
qggo 留下来
qghk 多一点
qghx 多一些
qgin 鱼汛
qgjj 金正日
qgkk 鲜品
qgnt 鱼尾
qgqg 鲟鱼 鳇鱼 鲥鱼 鲇鱼 鳜鱼 鲶鱼 鳊鱼
qgrm 负责制
qgrt 鲜卑
qgsw 鱼松
qgta 铺筑
qgth 鳞片
qgwg 包天剑
qhdg 钻研
qhdh 外戚
qhfj 钻进
qhtq 独具特色
qhty 钻入
qhuq 外资
qilf 乐团
qist 金水桥
qjlt 乌日图
qjmm 象山
qjux 龟兹
qkbb 兔子
qket 名胜
qkfn 钟声
qkmm 名山
qkpy 钟祥
qkss 针叶林
qkst 铁路桥
qkth 名牌 名片
qktj 名利
qkud 名头
qkuq 名将
qkxg 铁路线
qkyn 名望
qmdg 钢厂
qmvn 钢刀
qndg 独居石
qnip 饰演
qnlf 乌黑
qnou 饲料
qnqg 乌鱼
qnqn 饥饿 饭馆
qnqq 包金
qnqv 包银
qnsv 乌桕
qnud 馒头
qnwy 饮食
qowx 金炳华
qpia 钱之江
qpxg 外祖母
qqad 多期
qqbb 多子
qqbm 多出
qqck 金台
qqec 多胎
qqee 金钱豹
qqfq 金元
qqgu 金平
qqjp 金蛇
qqmq 多岁
qqoy 多米
qqpf 金冠
qqqf 金针
qqqg 钓鱼
qqql 金锣
qqqq 多多
qqqy 钓鱼岛
qqrn 多所
qqtg 金鲁生
qqth 多处
qqtj 金利
qqts 多条
qqud 钦差
qqvg 金嫣
qqyw 多座
qqyy 铭文
qrfj 铁戟
qrip 铁掌
qrtg 多年生
qryt 锦州
qsdn 鲁桂成
qsfh 铁木真
qtbb 狮子 猴子
qtdg 钾长石
qtga 外向型
qtgg 猴王
qtip 鲁智深
qtkh 狱中
qtpe 银行家
qtpw 印第安人
qtqt 狠狠 猴儿
qtrh 猛扑
qttr 猎物
qtud 银行券 猴头
qtvt 狼群
qtwd 名特优
qtww 猎人
quav 猴头菇
qulp 独立国家
quud 锐减
quuk 铁道部
quut 外交部长
qvit 银海
qwfq 鱼氽元
qwga 金俊武
qwjf 多公里
qwyt 锡伯族
qybj 邹高阳
qybm 留出
qyis 印度河
qyiu 印度洋
qykh 解放路 鲁磨路
qyls 解放思想
qyrg 解放后
qyug 久美
qywl 解放公园
qyww 印度人
qyyg 岛主
raga 拱形
ragy 朱雅琼
rajg 捕获量
raof 手工业者
rart 撒手
rasg 氨基酸
ravf 找寻
rbia 扬子江
rbid 朱阳湖
rbsq 朱子柳
rbtd 报知
rcad 托马斯
rcbb 摊子
rcdm 反面
rcga 摊开
rcif 反潜
rcip 反对党
rcir 反对派
rcma 反贼
rcnt 抒发
rcrt 反手 抬手
rcud 把头 挨着 反叛
rcwg 拚命
rdbb 皇太子
rdbm 拔出
rdbw 排队
rdia 排灌
rdjv 朱厚照
rdkh 拓跋
rdry 掩护 排挤
rdtf 朱邦造
rdtj 朱邦复
rdwg 白万剑 拔剑
rdyt 拜谢
relg 牛爱国
rert 摇手
rery 拥挤
rffp 抗震救灾
rfgo 反过来
rfgu 朱元璋
rfkk 探雷器 振动器
rfnt 技改
rfsf 白云村
rfuw 制动阀
rfww 岳夫人
rfxa 搜索引擎
rgad 殷正茂
rgbf 皇陵
rgcn 皇马
rgfj 皇朝
rgfs 热带雨林
rggg 摄政王
rggo 接下来
rggx 殷素素
rgid 后湖
rgip 后堂
rgis 后河
rglf 兵团
rgmm 皇岗
rgpe 岳家
rgpk 后宫
rgpt 所到之处
rgqq 后金
rgrm 兵制
rgsc 皇权
rgtv 后魏
rguf 白玉兰 朱丽兰
rguk 兵部
rgvv 白丽娜
rgwa 近现代
rgwq 皇爷
rgww 手下人 接班人
rgwy 捕食
rgyt 皇族
rgyw 执政府
rhgo 扑灭
rhhc 牛皮
rhhh 披上
rhkf 爪哇
rhlg 牛车
rhmw 年内
rhrh 近些年
rhry 掳掠
rhte 牛筋
rhtf 爬行
rhud 年头 掉头
rhuq 拈阄
rhuw 看准
rigo 朱光亚
riiq 殷海光
riiy 白沙洲
rikk 探测器
ripe 哲学家
risc 执法权
ritf 朱德
ritt 朱笔
rjfi 揭示
rjfy 抗日救亡
rkkt 热呼呼
rkwt 损伤
rlfc 摆动
rltm 抗辐射
rlyp 邱四豪
rmbc 制取
rmkk 缺口
rmoy 制糖
rmtf 投靠
rmtm 投身 投射
rmya 缺席
rmys 揣摩
rnet 所用
rnga 拨开
rnkm 指导员
rnlf 扭转
rnny 气恼
rnpg 拟定
rnrn 氧气 氢气
rntd 所知
rnty 年收入
rnud 扭头
rnwx 氨化
rnyl 所为
rnyt 气旋
rnyu 所说
rnyy 扬言
rpdw 探春
rpit 近海
rpiy 殷家洲 朱家渡
rpqf 朱祁镇
rpqg 朱祁钰
rpud 按着
rqee 白鳍豚
rqhh 换上
rqjt 牛金星
rqrm 抵制
rqsi 打狗棒法
rrae 白菜
rral 白莲
rrbb 折子
rrcn 拍马
rrdg 白石
rrfh 抓起
rrga 掀开
rrgf 乒乓球
rriu 白洋
rrjj 摇摇晃晃
rrkt 打招呼
rrlk 折回
rrlt 抵抗力
rrpe 白家
rrrn 指挥所
rrrr 拍拍 白白
rrrt 拍手
rrsm 拖拉机
rrtx 控制系统
rrud 摇摇头 手指头
rrww 白人
rrwy 白领 皈依
rryn 折扇
rryt 白族 白旗 撒拉族
rryw 白夜
rsbb 看样子
rsfj 打井
rsfq 朱相远
rsnt 技术性
rsnx 拉根尼
rssc 投票权
rstx 拉栖第
rsud 打着
rsww 打人
rtbm 搬出 看得出
rtfc 搬运
rtjj 接待日
rtkh 手足 插嘴
rtpn 执行官
rtrj 手提
rtrn 招待所
rtrt 插手
rtsm 丘处机
rttu 所得税
rtty 手稿
rtwf 招待会
rtyp 殷梨亭
rudg 拉古
rufc 抖动
ruga 撇开
rujg 年产量
rumm 牛头山
rumq 撞见
runt 抗逆性
ruqq 朱翊钧
ruuj 拼音
rvaa 招式
rvak 殷勤
rvgk 执事
rvif 热潮
rvtf 招待
rvud 执着
rvuy 热闹
rwfc 失去 抢劫
rwip 失学 推演 失常
rwla 白俄罗斯
rwmt 挫败
rwqf 朱仙镇
rwqi 反倾销 扎伊尔
rwrt 失手
rwtf 抢先 推选
rwtq 推移
rwtr 氧化物
rwum 提供商
rwwg 推拿 擒拿
rwym 失调
rxfi 批示
rxif 拂尘
rxkh 指路
rxrp 指控
rxrx 指指
rxud 指着 指头
rybm 挤出
rydf 挤压
rydr 白鹿原
rygf 热衷于
ryia 挤满
rytd 抗敌
rywx 制度化
sabb 柜子
saeg 模范县
saiq 横沟
saiy 杨苗洲
samq 杨臣刚
saqc 棕黄色
sass 楼式木
saxn 本世纪
sbgm 李珊
sbpe 李家
sbtg 楼阳生
sbvv 李娜
sbwc 李俊
scce 丁能通
scss 树林
scww 树丛
sdbi 丁石孙
sdcc 李大双
sddw 李三春
sdif 楚雁潮
sdjg 丁大旺
sdkd 杨百顺
sdsk 杨大哥
sdto 丁春秋
sdwx 柳大华
sdyp 李春亭
sejf 棚里
sfad 梅雨期
sfai 西朝东
sfbb 村子 杆子
sffa 西南地区
sffm 林震南
sfga 棱形
sfgh 李元正
sfgm 甄志丙
