gggg 一一
bntq 也称
bnth 也算
bnlf 也罢
bnce 也能
bntf 也行
bnsv 也要
bnyt 也许
bnyy 也该
bnyg 也请
bnuy 也门
bncw 也难
nuwt 习作
nuww 习俗
nupb 习字
nunt 习性
nunx 习惯
nuiv 习染
nuga 习武
nuet 习用
nuan 习艺
nujg 习题
xtgh 乡下
xtfj 乡井
xtus 乡亲
xtip 乡党
xtud 乡关
xtlw 乡办
xtce 乡勇
xtff 乡土
xtvf 乡妹
xtvd 乡姑
xtpa 乡宦
xtnd 乡居
xtln 乡思
xtng 乡情
xtto 乡愁
xtdr 乡愿
xtjy 乡景
xtma 乡曲
xtsf 乡村
xtna 乡民
xtxe 乡级
xtxj 乡绅
xtya 乡试
xtyo 乡谈
xtjc 乡贤
xtmb 乡邮
xtwy 乡邻
xtjf 乡里
xtqf 乡镇
xtta 乡长
xtuj 乡间
xtmq 乡风
nnyp 书亭
nnmm 书册
nnpg 书写
nnbi 书函
nnfj 书刊
nnqn 书包
nnud 书卷
nndc 书友
nnkg 书号
nnqk 书名
nnum 书商
nnfn 书场
nnfy 书坊
nnff 书坛
nnpe 书家
nnng 书屋
nnna 书展
nnym 书市
nnyl 书库
nnyh 书店
nnjy 书影
nnrc 书摊
nnru 书摘
nnyd 书斋
nnsg 书本
nnss 书林
nnlk 书架
nnsa 书柜
nnpv 书案
nnhj 书桌
nnsd 书橱
nnif 书法
nnth 书牍
nntg 书生
nngl 书画
nnhc 书皮
nnhh 书目
nnnh 书眉
nnpy 书社
nnty 书稿
nntw 书签
nntu 书简
nnts 书箱
nntd 书籍
nndv 书肆
nniw 书脊
nnjh 书虫
nnyn 书记
nnyg 书评
nnmr 书贩
nnop 书迷
nnjf 书里
nnbp 书院
nndm 书面
nntj 书香
nugh 买下
nuyg 买主
nubn 买了
nuhx 买些
nuiq 买光
nuty 买入
nugc 买到
nulw 买办
nuuj 买单
nufn 买卖
nuvb 买好
nupn 买官
nupt 买客
nupe 买家
nudn 买成
nuyn 买房
nurt 买手
nuon 买断
nuyy 买方
nudw 买春
nugo 买来
nuso 买楼
nuhk 买点
nusf 买票
numw 买肉
nuax 买药
nuae 买菜
numt 买账
nufj 买进
nuce 买通
nuqn 买饭
tdan 乱世
tdbn 乱了
tdpg 乱写
tdkn 乱叫
tddd 乱套
tdyc 乱序
tdxu 乱弹
txgg 每一
tdsh 乱想
tdry 乱搞
tdvs 乱杂
tdgo 乱来
tdna 乱民
tdin 乱泥
tdyb 乱离
tdxn 乱纪
tdah 乱臣
tdaw 乱花
tdyu 乱说
tdqj 乱象
tdlf 乱转
tduc 乱闯
tdnu 乱飞
tdys 乱麻
ebog 乳业
ebyj 乳剂
ebwx 乳化
ebqk 乳名
ebkk 乳品
ebud 乳头
ebvy 乳娘
ebmt 乳峰
ebyn 乳房
ebjp 乳晕
ebxg 乳母
ebif 乳汁
ebiq 乳沟
ebim 乳油
ebuq 乳浆
ebiy 乳液
ebau 乳燕
ebah 乳牙
ebrh 乳牛
ebqt 乳猪
ebuk 乳癌
ebrr 乳白
ebod 乳类
ebow 乳粉
eboy 乳糖
ebys 乳糜
eblh 乳罩
ebeu 乳胶
ebex 乳脂
eber 乳腺
ebth 乳臭
ebsg 乳酸
ebqs 乳钵
ebtj 乳香
ebwg 乳鸽
ebam 乳黄
ebhw 乳齿
fjfj 乾坤
fjbt 乾隆
bnpp 了之
bnbn 了了
bngk 了事
bnhx 了些
bnfc 了却
bnkc 了吗
bnka 了呀
bnvk 了如
bniv 了当
bntj 了得
bnon 了断
bnyn 了望
bnpv 了案
bnig 了清
bnqd 了然
bnxf 了结
bnqe 了解
bnmt 了账
cbww 予人
cbny 予以
qvww 争价
qvwd 争优
qviq 争光
qvwv 争分
qvwb 争创
qvlw 争办
qvbc 争取
qvki 争吵
qvdf 争夺
qvpd 争宠
qvxk 争强
qviv 争当
qvhk 争战
qvrv 争执
qvrw 争抢
qvrf 争持
qvuf 争斗
qvdw 争春
qvsc 争权
qvrn 争气
qvsh 争相
qvud 争着
qvum 争端
qvew 争脸
qvdh 争艳
qvay 争芳
qvtq 争衡
qvyy 争议
qvyw 争论
qvmq 争购
qvuy 争辩
qvep 争逐
qvqt 争锋
qvdc 争雄
qvfa 争霸
qvsd 争顶
qvym 争高
qvkq 争鸣
gkog 事业
gkyg 事主
gkwr 事件
gkwn 事假
gkqt 事儿
gktf 事先
gkma 事典
gkue 事前
gktl 事务
gkrg 事后
gkpe 事宜
gkpu 事实
gkdy 事态
gkng 事情
gkdt 事故
gksc 事权
gktr 事物
gkmh 事由
gklt 事略
gkum 事端
gkyo 事迹
gkbg 事隔
gkad 事项
fgan 二世
fgww 二人
fgfq 二元
fgve 二奶
fgvq 二婚
fgya 二度
fgux 二弟
fgny 二心
fgyn 二房
fgrt 二手
fgad 二期
fggo 二来
fgsr 二板
fgse 二极
fgso 二楼
fgtf 二毛
fgiy 二流
fgoq 二炮
fget 二用
fgtf 二等
fgxe 二级
fgxw 二维
fgft 二者
fgde 二胡
fgtg 二重
fgam 二黄
gfjg 于是
gfhx 于此
fnbn 亏了
fntf 亏待
fnrr 亏折
fnrk 亏损
fnsg 亏本
fnqw 亏欠
fnpw 亏空
fnlx 亏累
fndi 亏耗
fnqm 亏负
fcfm 云南
fceg 云县
fcck 云台
fcgd 云天
fcnf 云层
fcmm 云山
fcmw 云岭
fcmt 云峰
fcmd 云崖
fces 云彩
fcjy 云影
fcae 云散
fcms 云朵
fcse 云杉
fcss 云林
fcsu 云梯
fcie 云浮
fcit 云海
fcic 云涌
fcid 云涛
fcio 云淡
fcol 云烟
fcwg 云盒
fcte 云盘
fcum 云端
fcvk 云絮
fcxt 云缝
fcat 云翳
fcee 云豹
fcbf 云际
fciw 云雀
fcwy 云集
fcfg 云雨
fcft 云雾
fcfi 云霄
fcfv 云霓
fcfn 云霞
fcfy 云霭
fcsd 云顶
fcdx 云龙
gxgi 互不
gxyl 互为
gxwk 互保
gxwa 互借
gxud 互关
gxtj 互利
gxfc 互动
gxeg 互助
gxqk 互勉
gxdt 互帮
gxgj 互惠
gxdg 互感
gxrq 互换
gxft 互教
gxaq 互敬
gxry 互斥
gxir 互派
gxep 互爱
gxtg 互生
gxet 互用
gxsh 互相
gxow 互粉
gxbu 互联
gxpu 互补
gxmq 互见
gxyw 互认
gxyh 互让
gxym 互设
gxyy 互访
gxyg 互评
gxyc 互译
gxmu 互赠
gxlp 互连
gxux 互递
gxce 互通
gxqq 互金
gggg 五一
ggmw 五内
ggfg 五十
gglh 五四
ggvb 五好
ggpn 五官
gges 五彩
ggqj 五旬
gggx 五毒
ggid 五湖
ggtt 五笔
ggqc 五色
ggqq 五金
fjck 井台
fjkf 井喷
fjnk 井壁
fjyq 井底
fjlk 井架
fjll 井田
fjug 井盖
fjxk 井绳
gjdg 亘古
gogf 亚于
gopl 亚军
gody 亚太
goiv 亚当
goaq 亚欧
goiy 亚洲
goye 亚裔
godj 亚非
hxwh 些个
hxih 些小
hxtm 些微
hxyt 些许
hxed 些须
bktf 亟待
bkhw 亟盼
bkfd 亟需
bked 亟须
yndc 亡友
ynwg 亡命
ynlg 亡国
ynfw 亡夫
ynrw 亡失
yndt 亡故
ynvo 亡灵
ymdl 亢奋
uqhh 交上
uqgx 交互
uqwf 交付
uqwa 交代
uqwc 交公
uqrg 交兵
uqbm 交出
uqpd 交割
uqlk 交加
uqcy 交叉
uqdc 交友
uqcc 交叠
uqkt 交响
uqls 交困
uqvb 交好
uqvf 交媾
uqnt 交尾
uqaa 交工
uqty 交往
uqtf 交待
uqny 交心
uqng 交情
uqdg 交感
uqhk 交战
uqrt 交手
uqrd 交拜
uqrq 交换
uqru 交接
uqjq 交易
uqsd 交椅
uqcq 交欢
uqia 交汇
uqiy 交流
uqih 交涉
uqoo 交火
uqgy 交班
uqlw 交界
uqsh 交相
uqtu 交税
uqtp 交管
uqxm 交纳
uqxk 交织
uqxf 交结
uqxw 交给
uqnk 交臂
uqgk 交融
uqfw 交规
uqqe 交角
uqaq 交警
uqyo 交谈
uqyp 交谊
uqmt 交账
uqiq 交辉
uqlp 交边
uqgi 交还
uqce 交通
uqqg 交钱
uqqt 交锋
uqqa 交错
uqbf 交际
yovc 亦即
yosk 亦可
yode 亦有
yoqd 亦然
yotq 亦称
yoth 亦算
utog 产业
utgf 产于
utwf 产值
utwn 产假
utbm 产出
utue 产前
utaq 产区
utqy 产卵
utrg 产后
utkk 产品
utfb 产地
utvv 产妇
utih 产婆
utys 产床
utyn 产房
utsc 产权
utim 产油
utoa 产煤
uttr 产物
uttg 产生
uttu 产科
uttk 产程
utoy 产粮
utxg 产线
utce 产能
utth 产自
utjg 产量
utqa 产钳
utqi 产销
utbp 产院
utbw 产险
ybtj 亨利
ybce 亨通
ybqi 享乐
ybep 享受
ybrh 享年
ybde 享有
ybet 享用
ybpy 享福
ybiw 享誉
yiai 京东
yivt 京九
yiiq 京兆
yind 京剧
yiwx 京华
yikf 京味
yifd 京城
yipn 京官
yica 京戏
yisy 京杭
yiiy 京沪
yiir 京派
yixx 京畿
yiep 京腔
ypyp 亭亭
ypbb 亭子
ypgm 亮丽
ypiq 亮光
ypbm 亮出
ypip 亮堂
ypyq 亮底
ypya 亮度
ypgy 亮斑
ypos 亮灯
yphk 亮点
ypsh 亮相
ypqc 亮色
usjt 亲临
usus 亲亲
usww 亲人
uswa 亲代
uswf 亲传
uswy 亲信
usav 亲切
usdl 亲历
usdc 亲友
uskk 亲口
uskq 亲吻
ustk 亲和
usfw 亲夫
usvk 亲如
usbb 亲子
uspn 亲密
usnt 亲属
usng 亲情
usdh 亲戚
usdt 亲故
ussg 亲本
usrv 亲热
usep 亲爱
uswq 亲爹
usyx 亲率
usgg 亲王
usnh 亲疏
usud 亲眷
ushv 亲眼
ushf 亲睹
ustt 亲笔
usxx 亲缘
usbg 亲耳
usbw 亲聆
usth 亲自
ustm 亲身
usrp 亲近
usbd 亲随
yrnj 亵慢
yrif 亵渎
yrgf 亵玩
wwan 人世
wwyl 人为
wwww 人人
wwwu 人们
wwws 人体
wwwj 人偶
wwwq 人像
wwlt 人力
wwcd 人参
wwkk 人口
wwkm 人员
wwwg 人命
wwtk 人和
wwfq 人均
wwfw 人堆
wwfg 人士
wwfn 人声
wwdd 人大
wwgd 人天
wwpb 人字
wwpe 人家
wwdt 人寿
wwnd 人居
wwaa 人工
wwjy 人影
wwny 人心
wwnt 人性
wwng 人情
wwrt 人手
wwft 人才
wwov 人数
wwyy 人文
wwjj 人日
wwsg 人本
wwsm 人机
wwsc 人权
wwso 人杰
wwsu 人样
wwst 人格
wwqa 人氏
wwna 人民
wwrn 人气
wwic 人治
wwiy 人流
wwit 人海
wwis 人渣
wwif 人潮
wwol 人烟
wwtr 人物
wwqt 人犯
wwtg 人生
wwyx 人畜
wwhv 人眼
wwtq 人称
wwod 人类
wwxx 人缘
wwvt 人群
wwmw 人肉
wwey 人脑
wwmq 人见
wwrf 人质
wwmr 人贩
wwtm 人身
wwyo 人迹
wwut 人道
wwuj 人间
wwby 人防
wwbf 人际
wwcn 人马
wndn 亿万
wnfq 亿元
wniq 亿兆
wnkg 亿吨
wftc 什么
wftr 什物
wfqr 什锦
wfyq 仁义
wfdj 仁厚
wftf 仁德
wfng 仁恒
wfgh 仁政
wfep 仁爱
dwfn 仄声
wcyl 仅为
wcwc 仅仅
wcwa 仅供
wcwt 仅凭
wctu 仅剩
wchk 仅占
wcey 仅及
wckw 仅只
wcqk 仅够
wcdh 仅存
wcpw 仅容
wctj 仅得
wcrx 仅指
wcjg 仅是
wcde 仅有
wchx 仅此
wcbv 仅限
whww 仆人
wvww 仇人
wvqb 仇怨
wvnv 仇恨
wvtd 仇敌
wvqs 仇杀
wvpy 仇视
wvbi 仇隙
wyan 今世
wyqt 今儿
wyrg 今后
wyyw 今夜
wygd 今天
wypi 今宵
wyrh 今年
wyjj 今日
wyjh 今早
wyje 今明
wyaj 今昔
wyjq 今晚
wyjd 今晨
wyfj 今朝
wytg 今生
wjtu 介乎
wjgf 介于
wjty 介入
wjfp 介壳
wjbb 介子
wjng 介怀
wjuj 介意
wjxv 介绍
wjyn 介词
wjrf 介质
weyl 仍为
weny 仍以
wewf 仍会
wesk 仍可
wedh 仍在
weuq 仍将
went 仍属
weyi 仍应
wehj 仍旧
wejg 仍是
wede 仍有
wefi 仍未
weqd 仍然
wemh 仍由
wece 仍能
wesv 仍要
wefd 仍需
wwgi 从不
wwog 从业
wwkh 从中
wwgk 从事
wwwy 从今
wwwd 从优
wwpl 从军
wwue 从前
wwum 从商
wwud 从头
wwpu 从实
wwpw 从容
wwpa 从宽
wwih 从小
wwfi 从未
wwgo 从来
wwhx 从此
wwim 从没
wwjc 从紧
wwxe 从缓
wwdm 从而
wwyv 从良
wwlw 从轮
wwlc 从轻
wbwk 仓促
wbwy 仓储
wbyw 仓卒
wbyl 仓库
wbyn 仓房
wbqt 仓猝
wbrg 仓皇
wbfk 仓颉
wbvn 仓鼠
wbyx 仔畜
wbxl 仔细
wbcq 仔鸡
wfvv 仕女
wfpa 仕宦
wbxt 他乡
wbww 他人
wbwu 他们
wbwg 他俩
wblt 他力
wblg 他国
wbth 他处
wbpe 他家
wbrh 他年
wbtv 他律
wbsh 他想
wbrn 他所
wbyy 他方
wbjj 他日
wbqs 他杀
wbtr 他物
wbet 他用
wbrq 他的
wbyu 他说
wdyq 仗义
wdnf 仗恃
wdud 仗着
wdej 仗胆
wfgn 付与
wfbm 付出
wfth 付息
wfsu 付梓
wfff 付款
wfig 付清
wfxw 付给
wfmt 付账
wfxj 付费
wfmb 付邮
wmmy 仙丹
wmqi 仙乐
wmww 仙人
wmck 仙台
wmfu 仙境
wmvv 仙女
wmvd 仙姑
wmbb 仙子
wmnd 仙居
wmrn 仙气
wmuj 仙童
wmwc 仙翁
wmaj 仙草
wmrr 仙逝
wmpw 仙鹤
wayl 代为
wapp 代之
wauq 代交
waww 代价
wawi 代偿
walw 代办
waap 代劳
wafn 代卖
waeg 代县
want 代发
wakg 代号
waaa 代工
wayc 代序
wayq 代庖
waga 代开
warq 代换
wanh 代收
waov 代数
wafw 代替
wahi 代步
waiq 代沟
wagj 代理
wadc 代码
watt 代笔
watp 代管
waft 代考
wadi 代耕
watf 代行
wage 代表
wayy 代言
wayj 代课
wayt 代谢
wamq 代购
waqq 代金
walk 代驾
wygo 令严
wyww 令人
wyus 令尊
wyux 令慈
wyyv 令郎
nyhh 以上
nygh 以下
nyai 以东
nyyl 以为
nypp 以之
nywt 以作
nywa 以供
nywg 以便
nyqk 以免
nyad 以其
nymw 以内
nyue 以前
nyux 以北
nyfm 以南
nyey 以及
nyrg 以后
nyqh 以外
nycf 以对
nycn 以巴
nyty 以往
nytf 以待
nygo 以来
nyhx 以此
nyfi 以求
nyfi 以示
nyxg 以纯
nygc 以致
nysg 以西
nyuq 以资
nyby 以防
wyaa 仪式
wydy 仪态
wyge 仪表
wqah 仰卧
wqgd 仰天
wqaj 仰慕
wqbd 仰承
wqrr 仰拍
wqyn 仰望
wqhh 仰止
wqiy 仰泳
wqew 仰脸
wqpy 仰视
wqqe 仰角
wqfh 仰起
wqdm 仰面
wknx 仲尼
wkdw 仲春
wkfa 仲裁
wxyb 仳离
wrov 件数
wruq 件次
wwwf 价值
wwst 价格
wwff 价款
wwhh 价目
wwdc 价码
wwqg 价钱
wtws 任何
wtqk 任免
wtmw 任内
wtwt 任凭
wtue 任前
wttl 任务
wtbc 任取
wtvt 任君
wtwg 任命
wtnt 任性
wtuj 任意
wtad 任期
wtmh 任由
wtbk 任职
wtyj 任课
wttf 任选
wwjg 份量
wwpt 份额
wywx 仿佛
wyrm 仿制
wydg 仿古
whog 企业
whaj 企划
whey 企及
whlt 企图
whyn 企望
whfi 企求
whhw 企盼
whtq 企稳
whtp 企管
whym 企调
whtr 企鹅
wvtj 伊利
wvvc 伊始
wvps 伊宁
wvkt 伊川
wvdw 伊春
wdgh 伏下
wdrg 伏兵
wdfm 伏击
wdfb 伏地
wdjf 伏旱
wdpv 伏案
wdin 伏汛
wdtr 伏特
wdtt 伏笔
wdld 伏罪
wdha 伏虎
wdyr 伏诛
wdys 伏魔
wass 伐木
wasc 伐树
wsog 休业
wswn 休假
wsdq 休克
wsrg 休兵
wsud 休养
wsfj 休刊
wsgv 休妻
wsym 休市
wsth 休息
wssh 休想
wstd 休憩
wshk 休战
wsrj 休提
wsgk 休整
wsiq 休渔
wsgy 休班
wshn 休眠
wsct 休矣
wsya 休谟
wsus 休闲
wwww 众人
wwqq 众多
wwvc 众怒
wwjt 众星
wwtd 众筹
wwbp 众院
wdgf 优于
wdtf 优先
wdit 优劣
wdrv 优势
wdwx 优化
wddj 优厚
wdna 优异
wdgj 优惠
wdcb 优柔
wdiy 优游
wdhk 优点
wdte 优秀
wdxe 优级
wdug 优美
wdyc 优育
wdet 优胜
wdyv 优良
wdpu 优裕
wdrf 优质
wdfh 优越
wdjm 优遇
wdsg 优酷
wdah 优雅
wowu 伙伴
womg 伙同
wofw 伙夫
woyn 伙房
woyf 伙计
wowy 伙食
wfhh 会上
wfkh 会中
wfue 会前
wfvj 会剿
wftl 会务
wfey 会及
wfdc 会友
wfwg 会合
wfmg 会同
wfrg 会后
wfgi 会否
wfkm 会员
wfum 会商
wffn 会场
wfip 会堂
wfbb 会子
wfpj 会审
wfpt 会客
wfna 会展
wfny 会心
wfhk 会战
wfrk 会操
wfjg 会晤
wfde 会有
wfad 会期
wfit 会海
wftw 会签
wfft 会考
wfbc 会聚
wfmq 会见
wffw 会规
wfyf 会计
wfyy 会议
wfya 会试
wfyt 会话
wfyo 会谈
wflg 会车
wfta 会长
wfbe 会阴
wfdm 会面
wfhq 会餐
wfqn 会馆
wfyj 会齐
wawo 伛偻
wurg 伞兵
wuhw 伞具
wuga 伞形
wubt 伞降
wume 伞骨
wfog 伟业
wfsk 伟哥
wfdd 伟大
wfmd 伟岸
wfll 伟男
wfan 传世
wfyl 传为
wfww 传人
wfwa 传代
wfwy 传信
wfty 传入
wfgc 传到
wffc 传动
wfuj 传单
wfcd 传参
wfkt 传呼
wfkq 传唤
wfkj 传唱
wflk 传回
wfds 传奇
wfva 传媒
wfnf 传导
wfga 传开
wfng 传情
wfdg 传感
wfaa 传戒
wfrn 传扬
wfbd 传承
wfri 传抄
wfrb 传报
wfre 传授
wfrt 传播
wfgo 传来
wfiv 传染
wfrv 传热
wfjn 传电
wflt 传略
wfrh 传看
wffh 传真
wfsf 传票
wfow 传粉
wfxc 传经
wfxy 传统
wfcm 传观
wfyn 传记
wfyu 传说
wflw 传输
wfdp 传达
wffp 传过
wfud 传送
wfux 传递
wfut 传道
wfqi 传销
wfuk 传问
wfub 传闻
wfuu 传阅
wfwc 传颂
wtyn 伤亡
wtww 伤人
wtwe 伤俘
wtrg 伤兵
wtrv 伤势
wtpd 伤害
wtpf 伤寒
wtny 伤心
wtdj 伤悲
wtdg 伤感
wtgq 伤残
wtug 伤病
wtuv 伤痕
wtuc 伤痛
wttu 伤科
wtdi 伤耗
wtmf 伤财
wttm 伤身
wtrr 伤逝
wwip 伦常
wwyb 伦敦
wwgj 伦理
wyit 伪劣
wyuf 伪装
wyyg 伪证
wyqi 伪钞
wpwh 伫候
wpyn 伫望
wpuu 伫立
wpkh 伫足
wrqi 伯乐
wrwk 伯仲
wrwr 伯伯
wrap 伯劳
wrld 伯恩
wrss 伯林
wrxg 伯母
wrel 伯爵
wrwq 伯父
wrah 伯牙
wdut 估产
wdwf 估值
wdra 估摸
wdim 估测
wdth 估算
wdyf 估计
wdjg 估量
wuwq 伴你
wuwk 伴侣
wumg 伴同
wukj 伴唱
wudw 伴奏
wuvy 伴娘
wupj 伴宴
wuiv 伴当
wutr 伴我
wujt 伴星
wuee 伴月
wude 伴有
wuiy 伴游
wutg 伴生
wuud 伴着
wurl 伴舞
wuyf 伴读
wuyv 伴郎
wubd 伴随
wuuj 伴音
wwwt 伶俐
wwwm 伶俜
wjwj 伸伸
wjpq 伸冤
wjbm 伸出
wjtm 伸向
wjkh 伸嘴
wjud 伸头
wjna 伸展
wjth 伸延
wjga 伸开
wjxt 伸张
wjrt 伸手
wjma 伸曲
wjfh 伸直
wjxp 伸缩
wjes 伸腰
wjev 伸腿
wjtd 伸舌
wjfj 伸进
wjta 伸长
wnwh 伺候
wneb 伺服
wnsm 伺机
wnbi 伺隙
wntu 似乎
wnfb 似地
wnul 似曾
wnde 似有
wnii 似水
wnoo 似火
wngl 似画
wnrq 似的
wnqr 似锦
wlaj 伽蓝
wlcn 伽马
wlpe 佃农
wlte 佃租
wjsg 但丁
wjgi 但不
wjbn 但也
wjmy 但凡
wjfc 但却
wjcc 但又
wjld 但因
wjyi 但应
wjdr 但愿
wjjg 但是
wjde 但有
wjfi 但求
wjce 但能
wjsv 但要
wjmq 但见
wugf 位于
wufq 位元
wugq 位列
wurv 位势
wurt 位卑
wult 位图
wubb 位子
wund 位居
wuuq 位次
wush 位相
wutq 位移
wulf 位置
wuce 位能
wuym 位高
wqgh 低下
wqgf 低于
wqut 低产
wqww 低价
wqwd 低估
wqwk 低保
wqmm 低凹
wqwv 低分
wqgc 低到
wqit 低劣
wqdf 低压
wqkj 低唱
wqlk 低回
wqfb 低地
wqtg 低垂
wqfn 低声
wqth 低处
wqud 低头
wqnf 低层
wqmt 低峰
wqgu 低平
wqya 低度
wqyu 低廉
wqtm 低微
wqst 低格
wqsi 低档
wqip 低沉
wqij 低温
wqif 低潮
wqhk 低点
wqoa 低烧
wqnh 低眉
wqtd 低矮
wqpw 低空
wqum 低端
wqtf 低等
wqoy 低糖
wqxe 低级
wqdi 低耗
wqeq 低胸
wqce 低能
wqai 低落
wqau 低薪
wqyg 低语
wqym 低调
wqmg 低贱
wqop 低迷
wqgk 低速
wqbw 低阶
wqbv 低限
wquj 低音
wqhi 低频
wqnu 低飞
wqhw 低龄
wyfh 住址
wypt 住宅
wype 住家
wypw 住宿
wynx 住惯
wyyn 住房
wyrf 住持
wysu 住校
wyef 住脚
wyyf 住读
wybp 住院
wdou 佐料
wdis 佐酒
wdhq 佐餐
wdry 佑护
wswf 体会
wswu 体位
wswg 体例
wsmw 体内
wsrm 体制
wslt 体力
wsfl 体协
wskf 体味
wsff 体坛
wsqh 体外
wstv 体委
wspw 体察
wsnn 体己
wsaa 体式
wsxu 体弱
wsga 体形
wses 体彩
wswy 体念
wsdy 体态
wsng 体悟
wsna 体惜
wsrk 体操
wssu 体校
wsst 体格
wssw 体检
wsim 体测
wsiy 体液
wsij 体温
wsgm 体现
wsuq 体癣
wstk 体积
wstx 体系
wsxy 体统
wsly 体罚
wsyc 体育
wsce 体能
wsep 体腔
wsge 体表
wsfa 体裁
wsyw 体认
wsyy 体谅
wsee 体貌
wsrf 体质
wsmh 体贴
wstg 体重
wsta 体长
wsbp 体院
wsdm 体面
wscw 体验
wsrr 体魄
wsgi 何不
wsww 何人
wsny 何以
wsuk 何况
wsfc 何去
wsup 何啻
wsdh 何在
wsfb 何地
wsvk 何如
wsvy 何妨
wsip 何尝
wsfg 何干
wsrh 何年
wsnt 何必
wskk 何患
wsnh 何惧
wsto 何愁
wsuj 何意
wsdt 何故
wsjj 何日
wsjf 何时
wsul 何曾
wsgo 何来
wsse 何极
wshh 何止
wstr 何物
wset 何用
wstf 何等
wsft 何者
wsgc 何至
wsad 何苦
wsyt 何许
wsyo 何谈
wsyl 何谓
wskh 何足
wsfd 何需
wsed 何须
wfmm 佘山
wtgh 余下
wtiq 余光
wtip 余党
wtiw 余兴
wtav 余切
wtlt 余力
wtkf 余味
wtfb 余地
wtqh 余外
wtvi 余姚
wtdh 余存
wtrh 余年
wtyd 余庆
wtov 余数
wtjp 余晖
wtjn 余暇
wtso 余杰
wtgx 余毒
wtih 余波
wtij 余温
wttg 余生
wtqy 余留
wtoy 余粮
wtrm 余缺
wtpu 余裕
wtuk 余部
wtqg 余钱
wtus 余闲
wtpt 余额
wrqk 佚名
wxgk 佛事
wxwq 佛像
wxiq 佛光
wxma 佛典
wxkg 佛号
wxpe 佛家
wxmm 佛山
wxnt 佛性
wxrt 佛手
wxft 佛教
wxna 佛殿
wxif 佛法
wxah 佛牙
wxgr 佛珠
wxpy 佛祖
wxxc 佛经
wxuy 佛门
wxbp 佛陀
wtog 作业
wtai 作东
wtyl 作为
wtqi 作乐
wttd 作乱
wtwu 作伴
wtwk 作保
wtwn 作假
wtuw 作准
wtbm 作出
wtkl 作别
wtfl 作协
wtka 作呕
wtkk 作品
wtkt 作响
wtfy 作坊
wtfn 作声
wtvb 作好
wtaw 作孽
wtpn 作官
wtpe 作家
wtcf 作对
wtyc 作序
wtga 作弄
wtum 作弊
wtdy 作态
wtnc 作怪
wtth 作息
wtgo 作恶
wthk 作战
wtrk 作揖
wtyy 作文
wtou 作料
wtma 作曲
wtpv 作案
wtsg 作梗
wtss 作梦
wtif 作法
wtir 作派
wtep 作爱
wttr 作物
wtet 作用
wtgl 作画
wtte 作秀
wttw 作答
wtlf 作罢
wtft 作者
wtqc 作色
wtyf 作诗
wtbu 作陪
wtcw 作难
wtmq 作风
wqwo 佝偻
wqwu 你们
wqwg 你俩
wqvb 你好
wqpe 你家
wqsh 你想
wqtr 你我
wqrq 你的
wqrh 你看
weww 佣人
weaa 佣工
weqq 佣金
wmuf 佩兰
wmvn 佩刀
wmgk 佩带
wmfa 佩戴
wmeb 佩服
wmtr 佩特
wmgy 佩玉
wufc 佯动
wuat 佯攻
wuuf 佯装
wfgm 佳丽
wfwt 佳作
wfwj 佳偶
wfeg 佳县
wfqk 佳句
wfkk 佳品
wffu 佳境
wfvi 佳妙
wfvn 佳婿
wfje 佳明
wfjy 佳景
wfsq 佳构
wfxg 佳绩
wfug 佳美
wfqd 佳肴
wfce 佳能
wfab 佳节
wfsg 佳酿
wgpp 使之
wgww 使人
wgad 使其
wgca 使劲
wgkq 使唤
wgpx 使它
wgtj 使得
wget 使用
wgah 使臣
wgab 使节
wgqn 使馆
wkwk 侃侃
wgqt 侄儿
wgvv 侄女
wqyo 侈谈
wqys 侈靡
wgiw 例举
wgwf 例会
wgwn 例假
wgqh 例外
wgvk 例如
wgin 例汤
wgtf 例行
wgfw 例规
wgyg 例证
wfwh 侍候
wfbg 侍卫
wfdw 侍奉
wfyv 侍郎
wrwf 侏儒
wmyt 侗族
wagk 供事
waad 供其
waud 供养
wabm 供出
wadw 供奉
wayi 供应
waje 供暖
wajs 供果
wapv 供案
wahj 供桌
warn 供气
waii 供水
wafi 供求
warv 供热
wajn 供电
wapy 供神
waty 供稿
waxw 供给
wabk 供职
watl 供血
wayw 供认
wayn 供词
wawx 供货
wasy 供述
waqi 供销
wafd 供需
wywd 依仗
wywl 依偎
wywu 依傍
wyyc 依序
wyyo 依恋
wyrt 依托
wyrn 依据
wyhj 依旧
wyuq 依次
wyhx 依此
wyif 依法
wyqd 依然
wyjv 依照
wyxn 依纪
wygk 依赖
wybd 依随
wykd 依顺
wgyq 侠义
wgwk 侠侣
wkwu 侣伴
wafu 侥幸
whlw 侦办
whkr 侦听
whpw 侦察
whrp 侦探
whsj 侦查
whim 侦测
whdh 侦破
whxk 侦缉
whaq 侦获
wmws 侧体
wmfm 侧击
wmah 侧卧
wmrg 侧后
wmjy 侧影
wmyy 侧方
wmsf 侧枝
wmiy 侧泳
wmhh 侧目
wmht 侧睡
wmxg 侧线
wmnl 侧翼
wmbg 侧耳
wmpy 侧视
wmyn 侧记
wmtm 侧身
wmlf 侧转
wmlp 侧边
wmrp 侧近
wmuk 侧部
wmtg 侧重
wmuy 侧门
wmub 侧闻
wmdm 侧面
wtxt 侨乡
wtlw 侨办
wtnd 侨居
wtrb 侨报
wtna 侨民
wteq 侨胞
wtuq 侨资
wtnj 侮慢
