gggg 一一
peqt 家猫
pegw 家珍
peet 家用
pejn 家电
peyx 家畜
peud 家眷
pdwy 家破人亡
pdwy 家破人离
pdty 家破身亡
pepy 家祖
pprp 家神揍灶神
pprw 家神揍灶神自家人打自家人
pewy 家禽
petc 家私
petx 家系
pelx 家累
pexw 家给
pxwk 家给人足
pxnk 家给民足
ptpt 家翻宅乱
peah 家臣
pgwy 家至人说
pgyg 家至户到
pgyp 家至户察
pgyj 家至户晓
payd 家藏户有
pegd 家蚕
pmyy 家见户说
pefw 家规
peyf 家计
peyk 家训
peyy 家访
pyyj 家谕户晓
peyu 家谱
pemf 家财
pmwy 家败人亡
pwuf 家贫亲老
pwvi 家贫如洗
pema 家贼
pmcb 家贼难防
pefj 家进
puka 家道中落
puwp 家道从容
puiy 家道小康
puit 家道消乏
pejf 家里
pjty 家里丢了磨
pjtr 家里丢了磨没法推
pjww 家里人
peta 家长
ptpt 家长礼短
ptjt 家长里短
peuy 家门
pemq 家风
pcwn 家骥人璧
pcjt 家鸡野雉
pcjc 家鸡野鹜
pewg 家鸽
pevn 家鼠
pion 容光焕发
pweg 容县
pfeg 容城县
puft 容头过身
pwtj 容得
pwvy 容忍
pwjq 容易
pwpo 容灾
pwqy 容留
pwtk 容积
pwxm 容纳
pepf 容膝之地
pepk 容膝之安一肉之味
pwyh 容让
pwee 容貌
pwtm 容身
ptpr 容身之所
pwjg 容量
pwqa 容错
pqdc 容错码
pwut 容颜
pwdy 宽仁大度
pntw 宽以待人
pawt 宽余
pawn 宽假
paqk 宽免
padj 宽厚
pakf 宽叶
patk 宽和
palk 宽圆
pfaq 宽城区
pfie 宽城满族自治县
padd 宽大
pdyn 宽大为怀
papd 宽宏
ppdy 宽宏大度
ppdj 宽宏大量
papw 宽容
panu 宽屏
pana 宽展
pagk 宽带
pgmq 宽带网
pamh 宽幅
payy 宽广
paya 宽度
patf 宽待
pany 宽心
pndy 宽怀大度
pavk 宽恕
panf 宽慰
prpe 宽打窄用
paim 宽敞
pajy 宽旷
pasw 宽松
pait 宽泛
pidy 宽洪大度
pidj 宽洪大量
piij 宽洪海量
paqt 宽狭
pqui 宽猛并济
pqsi 宽猛相济
pqie 宽甸满族自治县
pajh 宽畅
ppab 宽窄巷子
pajc 宽紧
paxw 宽纵
paxh 宽绰
payn 宽肩
pawf 宽舒
paye 宽衣
papu 宽裕
paqe 宽解
payh 宽让
pawa 宽贷
pafo 宽赦
palp 宽边
pqaj 宽银幕
paui 宽阔
pabv 宽限
pahi 宽频
paqn 宽饶
pryg 宾主
ptvj 宾入如归
preg 宾县
pqig 宾夕法尼亚
prpt 宾客
ppvf 宾客如云
ppeu 宾客盈门
ppqu 宾客迎门
pkeg 宾川县
pryt 宾州
pree 宾朋
peiy 宾朋满座
preb 宾服
pgvj 宾来如归
pgvj 宾至如归
pbeg 宾阳县
pqje 宾饯日月
prqn 宾馆
pwyg 宿主
pysm 宿主机
pwwv 宿仇
pwwg 宿命
pfaq 宿城区
pihw 宿学旧儒
pyym 宿州市
pyxa 宿州经济技术开发区
pyca 宿州马鞍山现代产业园区
pwum 宿弊
pugi 宿弊一清
pwqb 宿怨
pwtd 宿敌
pseg 宿松县
pihm 宿水餐风
pwwf 宿舍
pwap 宿营
pcaq 宿豫区
ptym 宿迁市
ptxa 宿迁经济技术开发区
pfhm 宿雨餐风
pgpf 寂天寞地
phph 寂寂
ppfu 寂寂无闻
phpa 寂寞
phpn 寂寥
phgo 寂灭
phqd 寂然
pqgf 寂然不动
pafw 寂若无人
phge 寂静
pdhh 寄上
pdcb 寄予
pdgf 寄于
pwsg 寄人檐下
pwtg 寄人篱下
pdwy 寄信
pipn 寄兴寓情
pdbm 寄出
pdgc 寄到
pdfn 寄卖
pdlk 寄回
pddh 寄存
pdpw 寄宿
pdpj 寄寓
pdnd 寄居
pdty 寄往
pdng 寄情
pdrt 寄托
pdyt 寄放
pdyn 寄望
pdgo 寄来
pdtg 寄生
pttr 寄生物
ptjh 寄生虫
ptjp 寄生虫享福
ptjk 寄生虫享福室享受吃窒喝
pdtd 寄籍
pdxw 寄给
pdyg 寄语
pdtm 寄身
pyms 寄迹山林
pdux 寄递
pdqg 寄钱
pdwn 寄雁传书
pkqo 寅吃卯粮
pjhb 寅时点兵卯时上阵
pjhf 寅时点兵卯时上阵说干就干
pgcm 密不通风
pfgf 密云不雨
pfaq 密云区
pnwr 密件
pnwf 密会
pnbi 密函
pnav 密切
paam 密匝匝
pnat 密医
pnvk 密召
pnkf 密叶
pntf 密告
pnpf 密宗
pnpg 密室
ppaa 密密匝匝
ppnn 密密层层
pnff 密封
pfti 密封船下水
pftp 密封船下水开口是祸
pmym 密山市
pndm 密布
pnya 密度
pnrf 密技
pnrb 密报
pnrp 密探
pnxj 密旨
pnss 密林
pnsf 密植
pjsv 密歇根
pnjn 密电
pndc 密码
pnxq 密约
pxwa 密约偷期
pnxe 密级
pmrq 密网捕鱼
pmru 密网捕鱼连窝端
pngc 密致
pssx 密西西比
pnyv 密诏
pnyg 密语
pnyo 密谈
pnqe 密钥
pqjf 密锣紧鼓
pnuf 密闭
pnwy 密集
pwga 密集型
pnft 密雾
pyys 密麻麻
pfwv 寇仇
pggm 富丽
pgir 富丽堂皇
pgdt 富于春秋
pgww 富人
puds 富兰克林
pgeg 富县
pstl 富可敌国
pgum 富商
puds 富商大贾
puas 富商巨贾
puas 富商蓄贾
pglg 富国
plpn 富国安民
plxr 富国强兵
plxn 富国强民
plpn 富国裕民
pdtk 富在知足
pfgw 富埒王侯
pfbr 富埒陶白
pftl 富堪敌国
pgfg 富士
pfmm 富士山
pfce 富士通
pgih 富婆
ppeg 富宁县
ppdp 富室大家
ppdp 富家大室
ppap 富家巨室
pkge 富川瑶族自治县
pgeg 富平县
pgya 富庶
pgyv 富康
pgxk 富强
prqa 富拉尔基区
pdia 富春江
pgde 富有
pgxx 富比
pgna 富民
pneg 富民县
pgid 富源
pieg 富源县
pglh 富甲
pgdy 富矿
pgwc 富翁
paeg 富蕴县
pgpu 富裕
ppeg 富裕县
pgyp 富豪
pkgi 富贵不淫
pkgi 富贵不能淫
pkwv 富贵人家的小姐
pkwm 富贵人家的小姐弱不禁风
pktd 富贵利达
pkja 富贵显荣
pkif 富贵浮云
pkug 富贵病
pkaw 富贵荣华
pkgw 富贵逼人
pkgg 富贵逼人来
pkcw 富贵骄人
pldd 富轹万古
pgdt 富邦
pqym 富锦市
pgbj 富阳
pbaq 富阳区
pddf 富面百城
pkeg 富顺县
pgqn 富饶
pyaq 寒亭区
pfwn 寒假
pfiq 寒光
ptry 寒冬的电扇
ptrl 寒冬的电扇令人生畏
ptee 寒冬腊月
ptei 寒冬腊月吃冰水
pten 寒冬腊月吃冰水点点人心
ptei 寒冬腊月喝冰水
pteb 寒冬腊月喝冰水肚里有火心都凉了
ptef 寒冬腊月打雷
ptew 寒冬腊月打雷成不了气候
pteb 寒冬腊月摆龙门阵
ptei 寒冬腊月摆龙门阵冷言冷浯
ptep 寒冬腊月的马蜂窝
ptei 寒冬腊月的马蜂窝空空洞洞空洞
pfui 寒冰
pfuw 寒冷
pkqy 寒号鸟
pkqb 寒号鸟晒太阳
pkqf 寒号鸟晒太阳得过且过
pfks 寒噤
pffg 寒士
pfyw 寒夜
pgks 寒天吃冰棍
pgko 寒天吃冰棍心里有火
pfpi 寒宵
pmfq 寒山寺里的大钟
pmff 寒山寺里的大钟搬不动
pfmi 寒峭
pftm 寒微
pfny 寒心
pnif 寒心消志
pnst 寒心酸鼻
pnqf 寒心销志
pfuj 寒意
pfhk 寒战
pfjt 寒星
pfjp 寒暄
pjwn 寒暑假
pjgs 寒暑表里的水银柱
pjgg 寒暑表里的水银柱能上能下
psdw 寒木春华
pgjt 寒来暑往
pfst 寒梅
pgxn 寒武纪
pftf 寒毛
pthj 寒毛卓竖
pfrn 寒气
prpl 寒泉之思
pfiy 寒流
pigr 寒流来了吹暖气
pigm 寒流来了吹暖气冷嘲潮热讽风
pdgq 寒灰更然
pfol 寒烟
pfdc 寒碜
pfto 寒秋
pfpw 寒窗
pfgx 寒素
pdjd 寒耕暑耘
pdrd 寒耕热耘
pety 寒腹短识
pfev 寒腿
pfwf 寒舍
paja 寒花晚节
pfad 寒苦
pjwc 寒蝉仗马
pjwq 寒蝉僵鸟
pjua 寒蝉凄切
pfye 寒衣
pfah 寒邪
pfsg 寒酸
psar 寒酸落魄
pffs 寒霜
pffk 寒露
pfyl 寒颤
pfmq 寒风
pmwe 寒风侵肌
pjgf 寓于
pjwc 寓公
prgp 寓兵于农
pjnd 寓居
pygy 寓庄于谐
pngj 寓情于景
pjuj 寓意
puif 寓意深远
puit 寓意深长
pjrn 寓所
pfgq 寓教于乐
pjhh 寓目
pgpy 寝不安席
pgdp 寝不成寐
pgbp 寝不聊寐
prpf 寝丘之志
pujx 寝关曝纩
pupg 寝室
phwm 寝皮食肉
pasf 寝苫枕土
pasf 寝苫枕块
pasf 寝苫枕干
pasa 寝苫枕戈
pasa 寝苫枕草
pwgp 寝食不安
pwwy 寝食俱废
pwcp 寝食难安
pwtd 察今知古
pkqi 察哈尔
pkqy 察哈尔右翼中旗
pkqy 察哈尔右翼前旗
pkqy 察哈尔右翼后旗
ppyj 察察为明
ppdj 察察而明
pntw 察己知人
pdse 察布查尔锡伯自治县
pwje 察明
pwrh 察看
pmiq 察见渊鱼
pwip 察觉
pycq 察言观色
pyct 察言观行
pbeg 察隅县
paeg 察雅县
pgtw 寡不敌众
pgew 寡不胜众
pfic 寡二少双
pwpu 寡人之疾
pwly 寡信轻诺
pdwg 寡合
pdkf 寡味
pdvv 寡妇
pdgv 寡妻
pyqb 寡廉鲜耻
pnau 寡情薄意
pdcq 寡欢
pdxg 寡母
pmiu 寡见少闻
pmqu 寡见鲜闻
pdyy 寡言
pdub 寡闻
puim 寡闻少见
pdbg 寡陋
ppfp 寤寐求之
pnph 寥寂
pnpn 寥寥
ppso 寥寥可数
ppfm 寥寥无几
pajj 寥若晨星
pnai 寥落
pfyg 寨主
plpg 寰宇
plgf 寰球
fgal 寸功
fffq 寸土寸金
ffnq 寸土必争
fgud 寸头
fgon 寸断
fdrt 寸有所长
fhgy 寸步不离
fhct 寸步难行
fagt 寸草不生
fagq 寸草不留
fadj 寸草春晖
fgfj 寸进
fqcb 寸金难买寸光阴
fgbe 寸阴
cfgg 对一
cgwy 对不住
cgcf 对不对
cgfh 对不起
cfbn 对了
cfgk 对事
cfgf 对于
cfwd 对仗
cfwf 对付
cfwu 对位
cfwm 对侧
cfwk 对保
cfwg 对倒
cfwj 对偶
cfqt 对儿
cfiq 对光
cfwc 对公
cfad 对其
cfmw 对内
cfuk 对冲
cfun 对决
cfuw 对准
cfwv 对分
cfca 对劲
cfqc 对勾
cfuf 对半
cfwx 对华
cfkk 对口
cfck 对台
ccca 对台戏
cfkg 对号
cftm 对向
cfkc 对吗
cfka 对呀
cfkf 对味
ckcy 对哑巴说话
ckct 对哑巴说话白费口舌
cfkj 对唱
cfkb 对啊
cfcc 对垒
cfqh 对外
cqgy 对外开放
cqqj 对外贸易
cfgd 对天
cgyy 对天讲话
cgyy 对天讲话空话连篇空谈
cfud 对头
cupp 对头冤家
cfuq 对奖
cfbb 对子
cpry 对客挥毫
cfpe 对家
cfnn 对局
cfmd 对岸
cmhw 对岸上的公公
cmhu 对岸上的公公与我无关与己无关
cfmf 对峙
cyyy 对床夜语
cyyf 对床夜雨
cymf 对床风雨
cfyi 对应
cfga 对开
cfyo 对弈
cftf 对待
ctfh 对得起
cfrt 对手
crca 对手戏
cfrs 对打
cfry 对抗
crpf 对抗赛
cfrq 对换
cfru 对接
cfrd 对撼
cfat 对攻
cftd 对敌
cfov 对数
cfyy 对方
cjwn 对景伤情
cjrg 对景挂画
cfsg 对本
cfsu 对校
cfpv 对案
cfsk 对歌
cfgh 对正
cfhx 对此
cfxx 对比
cxya 对比度
cfiy 对流
cfwy 对焦
cfjv 对照
crky 对牛吟诗
crkb 对牛吟诗不入耳难入耳
crxg 对牛弹琴
crxa 对牛弹琴不入耳难入耳充耳不闻白费劲枉费工
crxc 对牛弹琴白费劲
crft 对牛鼓簧
cfug 对症
cuga 对症下药
cupa 对症之药
cuna 对症发药
cfrr 对白
cfrh 对看
cfhv 对眼
cufi 对着墙壁流泪
cufw 对着墙壁流泪独自悲伤
cufi 对着墙壁流眼泪
cufw 对着墙壁流眼泪独自悲伤
cufk 对着墙壁走路
cufu 对着墙壁走路没门儿无门
cufg 对着墙壁踢足球
cuxt 对着张飞骂刘备
cuxr 对着张飞骂刘备寻着惹气
cuey 对着月亮攀谈
cuet 对着月亮攀谈空话连篇
cucs 对着桑树骂槐树
cucs 对着桑树骂槐树指桑骂槐
cusn 对着棺材撒尿
cusw 对着棺材撒尿欺侮死人
cusy 对着棺材撒谎
cusw 对着棺材撒谎哄鬼骗鬼哄死人
cusd 对着棺材许愿
cusw 对着棺材许愿哄死人
cuik 对着水缸吹喇叭
cuiu 对着水缸吹喇叭有原因圆音
cuok 对着烟囱喊叫
cuoy 对着烟囱喊叫说直话
curk 对着牛嘴打喷嚏
curr 对着牛嘴打喷嚏吹牛
cugq 对着王八批乌龟
cugk 对着王八批乌龟正对号
cuhh 对着瞎子打俏眼
cuhf 对着瞎子打俏眼白费劲枉费工白费工夫
cudu 对着砚台梳头
cudg 对着砚台梳头没影的事
cupr 对着穿衣镜作揖
cupr 对着穿衣镜作揖自我崇拜
curk 对着罐子吹喇叭
curu 对着罐子吹喇叭有原因回音
cudf 对着聋子打鼓
cudu 对着聋子打鼓充耳不闻
cuqk 对着锅底亲嘴
cuqd 对着锅底亲嘴触一鼻子灰碰一鼻子灰
cuqk 对着镜子亲嘴
cuqn 对着镜子亲嘴自爱自欺欺人自己哄自己
cuqr 对着镜子伸小指
cuqn 对着镜子伸小指自己瞧不起自己
cuqu 对着镜子伸拳头
cuqn 对着镜子伸拳头自己吓唬自己
cuqc 对着镜子作戏
cuqr 对着镜子发脾气
cuqk 对着镜子怒吼
cuqr 对着镜子怒吼自暴自弃气
cuqe 对着镜子扮鬼脸
cuqn 对着镜子扮鬼脸自己丑化自己
cuqu 对着镜子挥拳头
cuqn 对着镜子挥拳头自己吓自己
cuqd 对着镜子演奏
cuqr 对着镜子演奏自吹自擂
cuqh 对着镜子瞪眼
cuqn 对着镜子瞪眼只恨自己
cuqr 对着镜子竖拇指
cuqf 对着镜子竖拇指自己夸自己自以为了不起
cuqp 对着镜子行大礼
cuqa 对着镜子行大礼自尊自敬
cuqy 对着镜子讲假话
cuqn 对着镜子讲假话自己骗自己
cuqy 对着镜子说漂亮
cuqd 对着镜子说漂亮自夸
cuat 对着靶子射箭
cuat 对着靶子射箭有的放矢
cftq 对称
cfpw 对空
cptf 对空射击
cptg 对空射击热火朝天
cprd 对空撒灰
cprn 对空撒灰害人先害自己
cfuu 对立
cftw 对答
ctvi 对答如流
cftg 对策
cfti 对簿
ctwi 对簿公堂
cdby 对聋子说话
cdbk 对聋子说话在张嘴
cfbu 对联
cawi 对薄公堂
cfjg 对虾
cfpu 对襟
cfpy 对视
cfqe 对角
cqxg 对角线
cfyf 对讲
cysm 对讲机
cfyg 对证
cyga 对证下药
cfyn 对词
cfyt 对话
cysa 对话框
cfym 对调
cfqj 对象
cfmt 对账
cfrf 对质
cfmf 对赌
cfmu 对赠
cfkh 对路
cflf 对转
cflp 对边
cffp 对过
ciis 对酒当歌
cfqa 对错
cqbr 对镜子作揖
cqbt 对镜子打躬
cqba 对镜子打躬自尊自敬
cfuy 对门
cukb 对门吹笛子
cuxk 对门缝吹号
cfbl 对阵
cbgs 对阵下棋
cbgr 对阵下棋纸上谈兵
cfdm 对面
cfqn 对饮
cfyj 对齐
ffym 寺庙
fjrq 寺里的木鱼
fjrw 寺里的木鱼任人敲打挨敲的货
fjfo 寺里起火
fjfp 寺里起火妙哉庙灾慌了神
ffbp 寺院
vqeg 寻乌县
vfgk 寻事
vgtd 寻事生非
vfus 寻亲
vuyd 寻亲访友
vfbm 寻出
vfgc 寻到
vfat 寻医
vfkt 寻呼
vkck 寻呼台
vksm 寻呼机
vhxr 寻壑经丘
vfpg 寻宝
vvee 寻寻觅觅
vfip 寻常
vfxx 寻幽
vxtt 寻幽入微
vxre 寻幽探胜
vufg 寻弊索瑕
vfln 寻思
vfra 寻找
vfsm 寻机
vsrk 寻枝摘叶
vfsj 寻查
vspy 寻根究底
vswy 寻根追底
vsuy 寻根问底
vfss 寻梦
vfcq 寻欢
vcwq 寻欢作乐
vfgq 寻死
vgei 寻死觅活
vffi 寻求
vieg 寻流逐末
viut 寻消问息
viys 寻源讨本
vgwb 寻瑕伺隙
vqle 寻甸回族彝族自治县
vufx 寻瘢索绽
vurq 寻章摘句
vffp 寻索
vaes 寻花觅柳
vaus 寻花问柳
vfay 寻芳
vftl 寻衅
vtol 寻行数墨
vteb 寻行逐队
vfem 寻觅
vkey 寻踪觅迹
vfuk 寻问
vfbi 寻隙
vmrj 寻风捉影
nnbw 导以取保
nfws 导体
nfty 导入
nfbm 导出
nffj 导刊
nfnt 导发
nftm 导向
nflt 导图
nfni 导尿
nfjg 导师
nfxh 导引
nfxu 导弹
nxrs 导弹打飞机
nxrn 导弹打飞机同归于尽
ntyp 导德齐礼
nfry 导护
nfrb 导报
nfrt 导播
nfsf 导标
nfiy 导游
nfip 导演
nofp 导火索
noxg 导火线
noxa 导火线上拴炸药
noxn 导火线上拴炸药一触即发
nfrv 导热
nfjn 导电
nftp 导管
nfxm 导纳
nfxg 导线
nfgc 导致
nfte 导航
ntsu 导航栏
nfyy 导言
nfyw 导论
nfyf 导读
nfmq 导购
nflv 导轨
nflw 导轮
nfce 导通
dgdb 寿不压职
dffj 寿元无量
dtiq 寿光
diym 寿光市
dteg 寿县
dtng 寿司
dtwg 寿命
dtip 寿堂
dpeg 寿宁县
dtpj 寿宴
dmpy 寿山福
dmpi 寿山福海
dtov 寿数
dtjt 寿星
djwb 寿星公唱曲子
djwy 寿星公唱曲子老调子老调
djbb 寿星出点子
djbu 寿星出点子老主意
djff 寿星卖了张果老
djff 寿星卖了张果老倚以老卖老
djbi 寿星娶小
djbf 寿星娶小人老心不老
djfm 寿星戴风帽
djfd 寿星戴风帽老一套
djff 寿星老儿吃砒霜
djfg 寿星老儿吃砒霜砷的氧化物剧毒
djfe 寿星老儿打飞脚
djfk 寿星老儿打飞脚力不能及力不从心心有余而力不足
djfq 寿星老儿插草标儿插在欲售之物上表示出卖的草棍儿
djff 寿星老儿插草标儿插在欲售之物上表示出卖的草棍儿倚老卖老
djfk 寿星老儿气喘
djfu 寿星老儿气喘老毛病
djfw 寿星老儿的脑袋
djfu 寿星老儿的脑袋宝贝疙瘩
djfg 寿星老儿练琵琶
djfx 寿星老儿练琵琶老生常谈弹老调重弹
djfp 寿星老儿骑仙鹤
djff 寿星老儿骑仙鹤无路可走
djfq 寿星老儿骑狗
djfy 寿星老儿骑狗没路鹿
djku 寿星跌跟头
djkq 寿星跌跟头老得发昏
dtss 寿木
dtsf 寿材
dtsi 寿桃
dxfm 寿比南山
digr 寿满天年
dtnh 寿眉
dttt 寿筵
dxgp 寿终正寝
dtye 寿衣
dtyt 寿诞
dtdf 寿辰
dtis 寿酒
dbeg 寿阳县
dtbw 寿险
dbrh 寿陵失步
freg 封丘县
ffgo 封严
ffyl 封为
ffwn 封侯
ffua 封冻
fvrw 封刀挂剑
ffqg 封印
ffkk 封口
ffkg 封号
ffdd 封套
fgab 封妻荫子
ffdh 封存
fpyd 封官许原
fpyd 封官许愿
ffmm 封山
fmys 封山育林
fnpg 封己守残
ffyq 封底
ffvf 封建
fvyy 封建主义
fvpw 封建社会
fgeg 封开县
ffyd 封斋
ffqs 封杀
ffts 封条
ffgq 封死
ffis 封河
ffin 封泥
ffoo 封火
fxdg 封疆大吏
ffhc 封皮
ffte 封盘
ffpy 封神
fpsu 封神榜
ffmq 封网
fdug 封胡羯末
fdjg 封胡遏末
fetj 封豕长蛇
fuwh 封资修
ffip 封赏
ffmj 封赐
ffjf 封里
fqrq 封金挂印
ffqi 封锁
ffqu 封镜
ffuy 封门
ffuf 封闭
fuaa 封闭式
ffdm 封面
fdhw 封面上的美人
fdhb 封面上的美人不可取娶
ffsd 封顶
twtc 射人先射马
twhk 射像止啼
tmbm 射出
tbri 射出的箭泼出的水
tbrg 射出的箭泼出的水难收回收不回来
tmfm 射击
tffb 射击场上的靶子
tffb 射击场上的靶子漏洞百出
ttiq 射利沽名
tjwi 射影含沙
tmrt 射手
tryw 射手座
tmqs 射杀
tiym 射洪市
tmqt 射猎
tmjn 射电
tdqn 射石饮羽
tmtk 射程
tmtu 射箭
ttib 射箭没靶子
ttit 射箭没靶子无的放矢
tmog 射精
tmxg 射线
tmfj 射进
tmuy 射门
tbeg 射阳县
tmhi 射频
tqrg 射鱼指天
uqjt 将临
uqeg 将乐县
uqgf 将于
uqwf 将会
uwpe 将伯之助
uwpk 将伯之呼
uqwd 将佐
uqwg 将使
uwux 将信将疑
uqad 将其
uqpl 将军
upgc 将军不下马
upgt 将军不下马各奔前程
upef 将军肚
uprx 将军返乡
uprl 将军返乡解甲归田
uarl 将功折罪
uarf 将功折过
uarl 将功抵罪
uapf 将功补过
uaml 将功赎罪
uapr 将勤补拙
ublc 将取固予
udqh 将在外
uqfg 将士
ugyf 将天就地
udlg 将夺固与
uqpn 将官
uqnf 将尉
uyuy 将就将就
uqjm 将帅
unxn 将心比心
uqft 将才
ufwd 将无作有
ufwd 将无做有
uqjg 将是
uqde 将有
usft 将本求利
usfm 将本求财
usys 将机就机
usyy 将机就计
usws 将李代桃
uqgo 将来
uqsu 将校
uwbp 将欲取之必先与之
uspk 将相之器
uexe 将胸比肚
uqgc 将至
ujqu 将虾钓鳖
uqpu 将被
uqsv 将要
uyyy 将计就计
uqdp 将达
uqrp 将近
ujyf 将遇良才
ujys 将遇良材
uqyq 将错就错
uquy 将门
uubb 将门出虎子
uubd 将门出虎子一代更比一代强一辈强似一辈
uufb 将门无犬子
uudu 将门有将
uuhb 将门虎子
ukau 将顺其美
unnw 将飞翼伏
nqeg 尉氏县
nteg 尉犁县
nfny 尉迟
usgo 尊严
usyl 尊为
uyin 尊主泽民
uswu 尊位
uwru 尊俎折冲
udrw 尊古卑今
uskg 尊号
usvt 尊姓
uvdq 尊姓大名
usmp 尊崇
unrw 尊己卑人
usjg 尊师
ujku 尊师贵道
ujtu 尊师重道
urih 尊年尚齿
usaq 尊敬
uffh 尊无二上
ustq 尊称
ufex 尊老爱幼
usap 尊荣
ujwc 尊贤使能
uskh 尊贵
ustg 尊重
usta 尊长
usut 尊颜
uslk 尊驾
idbj 小三阳
igvy 小不忍则乱大谋
ighq 小不点儿
ihnf 小丑
inwu 小丑化装
inwf 小丑化装粉墨登场
inki 小丑跳梁
ioyg 小业主
igko 小两口观灯
igke 小两口观灯喜气盈盈
ihtu 小乘
ivvt 小九九
ihgk 小事
ifvq 小二姐要饭
ifvg 小二姐要饭放不下脸脸面上下不来
ifvx 小二姐走钢丝
ifvt 小二姐走钢丝无依无靠
iflv 小二黑结婚
iflw 小二黑结婚新事新办情投意合
ihgf 小于
ihww 小人
iwnn 小人书
iwtf 小人得志
inbb 小以子
ihwr 小件
ihwo 小伙
iwbb 小伙子
iwqt 小会儿
ihwf 小传
ihwg 小便
iwpe 小便宜
iwkk 小俩口
ihwh 小修
ihww 小偷
iwgu 小偷不用化装
iwge 小偷不用化装贼头贼脑
iwgk 小偷不经吓
iwgh 小偷不经吓做贼心虚
iwws 小偷做梦
iwww 小偷做梦想偷
iwfi 小偷击鼓进大堂
iwfu 小偷击鼓进大堂恶人先告状
iwir 小偷小摸
iwrn 小偷打官司
iwrb 小偷打官司输定了
iwrp 小偷打警察
iwrg 小偷打警察岂有此理
iwra 小偷报警
iwrm 小偷报警贼喊捉贼
iwjb 小偷照镜子
iwje 小偷照镜子贼头贼脑
iwrq 小偷的钱包
iwrm 小偷的钱包不义之财
iwhb 小偷盯耗子
iwhh 小偷盯耗子贼眉鼠眼
iwdm 小偷碰见盗贼
iwdw 小偷碰见盗贼恶人遇恶人
iwpr 小偷被抓
iwpr 小偷被抓六神无主处处挨打
iwff 小偷进牧场
iwfu 小偷进牧场顺手牵羊
iwjp 小偷遇警察
iwjp 小偷遇警察心神不安
ikux 小兄弟
ihrg 小兵
ihul 小兽
imbb 小册子
ihpg 小写
ihvn 小刀
ihkl 小别
ihaq 小区
ihyw 小卒
ihda 小厮
ihhi 小叔
iedf 小受大走
ihyo 小变
ihsk 小可
ihkf 小叶
ihkg 小号
ihkt 小吃
ihqk 小名
itix 小和尚念经
itin 小和尚念经有口无心
ihkk 小品
ikyy 小品文
iswj 小哥俩出师
iswt 小哥俩出师各奔前程
ihum 小商
ikje 小器易盈
ihlv 小囡
ilih 小囡小孩儿拔萝卜
ilpn 小国寡民
ihlk 小圆
ihlu 小圈
ilbb 小圈子
ihfy 小坑
ihga 小型
igsm 小型机
ihfd 小城
ihfn 小声
ihth 小处
iyma 小夜曲
idmp 小大由之
ihud 小头
ivby 小女孩
ihvf 小妹
ihgv 小妻
ihve 小姐
ivwd 小姐使丫鬟
ivwk 小姐使丫鬟百依百顺
ivve 小姐姐
ihvd 小姑
ivvy 小姑娘
ivvn 小姑娘的脸蛋
ivvw 小姑娘的脸蛋讨人爱爱煞人
ivvb 小姑娘的辫子
ivvr 小姑娘的辫子两边摆
ivvv 小姑娘逗娃娃
ivvk 小姑娘逗娃娃嘻嘻哈哈
ivrv 小姑打碗怨媳妇
ivrn 小姑打碗怨媳妇错怪
ivqt 小姑独处
ihvg 小姨
ivbb 小姨子
ivvc 小娃娃做游戏
ivvg 小娃娃做游戏不成重来
ivva 小娃娃吃甘蔗
ivvg 小娃娃吃甘蔗一节节来
ivvi 小娃娃扛大梁
ivvj 小娃娃扛大梁自不量力不自量
ivvt 小娃娃拾炮仗爆竹
ivve 小娃娃拾炮仗爆竹慌了手脚
ivve 小娃娃的脸
ivvt 小娃娃的脸要哭就哭要笑就笑
ivvy 小娃娃的话
ivvy 小娃娃的话句句真言句句实话
ivvs 小娃娃耍单杠
ivvh 小娃娃耍单杠高攀不上
ivvc 小娃娃骑木马
ivvg 小娃娃骑木马愿上不愿下
iiup 小婆妾当家
iium 小婆妾当家做不了主缺乏主见
iibk 小婆子上吊
iibr 小婆子上吊吓唬大的
ivvv 小媳妇
ivvv 小媳妇哭爹妈
ivvb 小媳妇哭爹妈没完没了
ivvp 小媳妇回娘家
ivvp 小媳妇回娘家背包袱
ivvl 小媳妇坐轿
ivvi 小媳妇坐轿靠众人抬举
ivvj 小媳妇拿钥匙
ivvy 小媳妇拿钥匙有职无权当家不做主
ivvq 小媳妇讨饭
ivvh 小媳妇讨饭死心眼
ivvp 小媳妇进婆家
ivvi 小媳妇难当
ihbb 小子
ibrt 小子后生
ihbn 小孔
ihpb 小字
ihip 小学
iitg 小学生
ihby 小孩
ibuu 小孩剃头
ibub 小孩剃头快了
ibkk 小孩吹喇叭
ibkd 小孩吹喇叭口气不大
ibbb 小孩子
ibbw 小孩子摆神位
ibbw 小孩子摆神位你哄我我哄你
ibbp 小孩子过家家
ibbf 小孩子过家家一会儿好一会儿坏
ibrl 小孩抬大轿
ibrf 小孩抬大轿担当不起
ibrj 小孩抽陀螺
ibrl 小孩抽陀螺团团转不打不转
ibrt 小孩掰竹笋
ibri 小孩掰竹笋拔尖
ibyo 小孩放烟火
ibyb 小孩放烟火天花乱坠
ibyt 小孩放爆竹
ibyn 小孩放爆竹又爱又怕
ibrh 小孩爬到井台上
ibrt 小孩爬到井台上太悬乎
ibrf 小孩爬墙
ibrh 小孩爬墙高攀不上
ibgk 小孩玩喇叭
ibgb 小孩玩喇叭吹了
