uxyi 北京
ddyd 大庆
dyym 大庆市
aqla 萨尔图区
aqlt 萨尔图
dmaq 龙凤区
dxmc 龙凤
ydka 让胡路区
ydkh 让胡路
xmaq 红岗区
xamm 红岗
dmaq 大同区
yyeg 肇州县
ynyt 肇州
yieg 肇源县
ynid 肇源
sqeg 林甸县
ssql 林甸
sqwe 杜尔伯特蒙古族自治县
sqwi 杜尔伯特蒙古族自治
dyya 大庆高新技术产业开发区
dyyn 大庆高新技术产业开发
wvdw 伊春
wdym 伊春市
wuaq 伊美区
wvug 伊美
qnaq 乌翠区
qnny 乌翠
dvaq 友好区
dcvb 友好
faeg 嘉荫县
fkab 嘉荫
ijeg 汤旺县
injg 汤旺
dseg 丰林县
dhss 丰林
dtme 大箐山县
dtmm 大箐山
fweg 南岔县
fmwv 南岔
qsaq 金林区
qqss 金林
qlym 铁力市
qrlt 铁力
wsad 佳木斯
wsay 佳木斯市
ufaq 前进区
uefj 前进
amaq 东风区
aimq 东风
sfeg 桦南县
swfm 桦南
skeg 桦川县
swkt 桦川
ideg 汤原县
indr 汤原
miym 同江市
mgia 同江
pqym 富锦市
pgqr 富锦
rfym 抚远市
rffq 抚远
acis 七台河
aciy 七台河市
uiaq 新兴区
usiw 新兴
smaq 桃山区
simm 桃山
abia 茄子河区
abis 茄子河
fteg 勃利县
fptj 勃利
tmia 牡丹江
tmiy 牡丹江市
apaq 东安区
aipv 东安
bjaq 阳明区
bjje 阳明
enaq 爱民区
epna 爱民
skeg 林口县
sskk 林口
xaiy 绥芬河市
xais 绥芬河
isym 海林市
itss 海林
ppym 宁安市
pspv 宁安
tsym 穆棱市
trsf 穆棱
apym 东宁市
aips 东宁
lfis 黑河
liym 黑河市
eiaq 爱辉区
epiq 爱辉
bdeg 逊克县
bidq 逊克
bkeg 孙吴县
bikg 孙吴
upym 北安市
uxpv 北安
gdly 五大连池市
gdli 五大连池
viym 嫩江市
vgia 嫩江
xewx 绥化
xwym 绥化市
usaq 北林区
uxss 北林
ydeg 望奎县
yndf 望奎
useg 兰西县
ufsg 兰西
gmeg 青冈县
gemq 青冈
ypeg 庆安县
ydpv 庆安
jieg 明水县
jeii 明水
xseg 绥棱县
xesf 绥棱
pdym 安达市
pvdp 安达
yaym 肇东市
ynai 肇东
iwym 海伦市
itww 海伦
dipm 大兴安岭
dipa 大兴安岭地区
iiym 漠河市
iais 漠河
kgeg 呼玛县
ktgc 呼玛
fieg 塔河县
fais 塔河
lsda 加格达奇区
lsdd 加格达奇
smaq 松岭区
swmw 松岭
usaq 新林区
usss 新林
kkaq 呼中区
ktkh 呼中
hhit 上海
hiym 上海市
aiaq 黄浦区
amig 黄浦
tiaq 徐汇区
twia 徐汇
tpaq 长宁区
taps 长宁
gpaq 静安区
gepv 静安
ubaq 普陀区
uobp 普陀
jkaq 虹口区
jakk 虹口
siaq 杨浦区
snig 杨浦
utaq 闵行区
uytf 闵行
fpaq 嘉定区
fkpg 嘉定
iaua 浦东新区
iaus 浦东新
qmaq 金山区
qqmm 金山
siaq 松江区
swia 松江
giaq 青浦区
geig 青浦
djaq 奉贤区
dwjc 奉贤
mjaq 崇明区
mpje 崇明
iaal 江苏
iait 江苏省
fmyi 南京
fyym 南京市
ygaq 玄武区
yxga 玄武
diaq 秦淮区
dwiw 秦淮
voaq 建邺区
vfog 建邺
fsaq 鼓楼区
fkso 鼓楼
ikaq 浦口区
igkk 浦口
sfaq 栖霞区
ssfn 栖霞
faca 雨花台区
fack 雨花台
ipaq 江宁区
iaps 江宁
uwaq 六合区
uywg 六合
iiaq 溧水区
isii 溧水
yiaq 高淳区
ymiy 高淳
fqqj 无锡
fqym 无锡市
qmaq 锡山区
qjmm 锡山
gmaq 惠山区
gjmm 惠山
iiaq 滨湖区
ipid 滨湖
iiaq 梁溪区
ivie 梁溪
ukaq 新吴区
uskg 新吴
ibym 江阴市
iabe 江阴
piym 宜兴市
peiw 宜兴
twyt 徐州
tyym 徐州市
fdaq 云龙区
fcdx 云龙
siaq 贾汪区
smig 贾汪
rmaq 泉山区
rimm 泉山
qmaq 铜山区
qmmm 铜山
dheg 丰县
igeg 沛县
hpeg 睢宁县
hwps 睢宁
tyxa 徐州经济技术开发区
tyxn 徐州经济技术开发
uiym 新沂市
usir 新沂
gyym 邳州市
giyt 邳州
ipyt 常州
iyym 常州市
gpaq 天宁区
gdps 天宁
qsaq 钟楼区
qkso 钟楼
uuaq 新北区
usux 新北
gfaq 武进区
gafj 武进
qfaq 金坛区
qqff 金坛
ibym 溧阳市
isbj 溧阳
alyt 苏州
ayym 苏州市
hraq 虎丘区
harg 虎丘
kkaq 吴中区
kgkh 吴中
sfaq 相城区
shfd 相城
vaaq 姑苏区
vdal 姑苏
kiaq 吴江区
kgia 吴江
ayaa 苏州工业园区
ayal 苏州工业园
iyym 常熟市
ipyb 常熟
xpiy 张家港市
xpia 张家港
jmym 昆山市
jxmm 昆山
dwym 太仓市
dywb 太仓
fmce 南通
fcym 南通市
mkaq 崇川区
mpkt 崇川
iuaq 海门区
ituy 海门
vaeg 如东县
vkai 如东
fcxa 南通经济技术开发区
fcxn 南通经济技术开发
yaym 启东市
ynai 启东
vrym 如皋市
vkrd 如皋
ipym 海安市
itpv 海安
lfia 连云港
lfiy 连云港市
lfaq 连云区
lpfc 连云
usaq 赣榆区
ujsw 赣榆
aieg 东海县
aiit 东海
ifeg 灌云县
iafc 灌云
ifeg 灌南县
iafm 灌南
lfia 连云港经济技术开发区
lfin 连云港经济技术开发
iwpv 淮安
ipym 淮安市
ipaq 淮安区
ibaq 淮阴区
iwbe 淮阴
iiia 清江浦区
iiig 清江浦
iiaq 洪泽区
iaic 洪泽
iieg 涟水县
ilii 涟水
hheg 盱眙县
hghc 盱眙
qieg 金湖县
qqid 金湖
ipxa 淮安经济技术开发区
ipxn 淮安经济技术开发
fhfd 盐城
ffym 盐城市
yiaq 亭湖区
ypid 亭湖
ffaq 盐都区
fhft 盐都
ddaq 大丰区
dddh 大丰
kieg 响水县
ktii 响水
iieg 滨海县
ipit 滨海
wpeg 阜宁县
wnps 阜宁
tbeg 射阳县
tmbj 射阳
vieg 建湖县
vfid 建湖
ffxa 盐城经济技术开发区
ffxn 盐城经济技术开发
acym 东台市
aick 东台
rnyt 扬州
ryym 扬州市
ybaq 广陵区
yybf 广陵
fiaq 邗江区
fbia 邗江
ifaq 江都区
iaft 江都
pyeg 宝应县
pgyi 宝应
ryxa 扬州经济技术开发区
ryxn 扬州经济技术开发
wtym 仪征市
wytg 仪征
ymym 高邮市
ymmb 高邮
qfia 镇江
qiym 镇江市
ykaq 京口区
yikk 京口
iyaq 润州区
iuyt 润州
mtaq 丹徒区
mytf 丹徒
qiua 镇江新区
qius 镇江新
mbym 丹阳市
mybj 丹阳
rkym 扬中市
rnkh 扬中
qpym 句容市
qkpw 句容
dwyt 泰州
dyym 泰州市
ibaq 海陵区
itbf 海陵
yiaq 高港区
ymia 高港
ufaq 姜堰区
ugfa 姜堰
iwym 兴化市
iwwx 兴化
uiym 靖江市
ugia 靖江
diym 泰兴市
dwiw 泰兴
pwtf 宿迁
ptym 宿迁市
pfaq 宿城区
pwfd 宿城
pcaq 宿豫区
pwcb 宿豫
ibeg 沭阳县
isbj 沭阳
ibeg 泗阳县
ilbj 泗阳
iieg 泗洪县
ilia 泗洪
ptxa 宿迁经济技术开发区
ptxn 宿迁经济技术开发
iria 浙江
iiit 浙江省
syyt 杭州
syym 杭州市
hfaq 上城区
hhfd 上城
rjaq 拱墅区
rajf 拱墅
siaq 西湖区
sgid 西湖
iiaq 滨江区
ipia 滨江
amaq 萧山区
avmm 萧山
wsaq 余杭区
wtsy 余杭
pbaq 富阳区
pgbj 富阳
jpaq 临安区
jtpv 临安
jgaq 临平区
jtgu 临平
qfaq 钱塘区
qgfy 钱塘
syeg 桐庐县
smyy 桐庐
ipeg 淳安县
iypv 淳安
vtym 建德市
vftf 建德
psih 宁波
piym 宁波市
ijaq 海曙区
itjl 海曙
iuaq 江北区
iaux 江北
uwaq 北仑区
uxwx 北仑
qiaq 镇海区
qfit 镇海
ayaq 鄞州区
akyt 鄞州
dwaq 奉化区
dwwx 奉化
qmeg 象山县
qjmm 象山
pieg 宁海县
psit 宁海
wvym 余姚市
wtvi 余姚
uiym 慈溪市
uxie 慈溪
ijyt 温州
iyym 温州市
yfaq 鹿城区
ynfd 鹿城
diaq 龙湾区
dxiy 龙湾
aiaq 瓯海区
aqit 瓯海
iuaq 洞头区
imud 洞头
yfeg 永嘉县
ynfk 永嘉
gbeg 平阳县
gubj 平阳
afeg 苍南县
awfm 苍南
ydeg 文成县
yydn 文成
dkeg 泰顺县
dwkd 泰顺
gpym 瑞安市
gmpv 瑞安
qiym 乐清市
qiig 乐清
diym 龙港市
fkiw 嘉兴
fiym 嘉兴市
fiaq 南湖区
fmid 南湖
tiaq 秀洲区
teiy 秀洲
fueg 嘉善县
fkud 嘉善
ifeg 海盐县
itfh 海盐
ipym 海宁市
itps 海宁
giym 平湖市
guid 平湖
sxym 桐乡市
smxt 桐乡
idyt 湖州
iyym 湖州市
kiaq 吴兴区
kgiw 吴兴
fiaq 南浔区
fmiv 南浔
tieg 德清县
tfig 德清
tieg 长兴县
taiw 长兴
pfeg 安吉县
pvfk 安吉
xviw 绍兴
xiym 绍兴市
ffaq 越城区
fhfd 越城
ssaq 柯桥区
ssst 柯桥
hhaq 上虞区
hhha 上虞
ujeg 新昌县
usjj 新昌
yvym 诸暨市
yfvc 诸暨
myym 嵊州市
mtyt 嵊州
qqwx 金华
qwym 金华市
cfaq 婺城区
cbfd 婺城
qaaq 金东区
qqai 金东
gyeg 武义县
gayq 武义
iieg 浦江县
igia 浦江
tpeg 磐安县
tepv 磐安
uiym 兰溪市
ufie 兰溪
yqym 义乌市
yqqn 义乌
abym 东阳市
aibj 东阳
yyym 永康市
ynyv 永康
thyt 衢州
tyym 衢州市
sfaq 柯城区
ssfd 柯城
tiaq 衢江区
thia 衢江
imeg 常山县
ipmm 常山
gweg 开化县
gawx 开化
dieg 龙游县
dxiy 龙游
imym 江山市
iamm 江山
temm 舟山
tmym 舟山市
piaq 定海区
pgit 定海
wmeg 岱山县
wamm 岱山
mieg 嵊泗县
mtil 嵊泗
ckyt 台州
cyym 台州市
siaq 椒江区
shia 椒江
amaq 黄岩区
ammd 黄岩
ksaq 路桥区
khst 路桥
dueg 三门县
dguy 三门
gceg 天台县
gdck 天台
wneg 仙居县
wmnd 仙居
imym 温岭市
ijmw 温岭
jiym 临海市
jtit 临海
ggym 玉环市
gygg 玉环
gmii 丽水
giym 丽水市
afaq 莲都区
alft 莲都
gleg 青田县
gell 青田
xfeg 缙云县
xgfc 缙云
ujeg 遂昌县
uejj 遂昌
sbeg 松阳县
swbj 松阳
fteg 云和县
fctk 云和
yfeg 庆元县
ydfq 庆元
jpwe 景宁畲族自治县
jpwi 景宁畲族自治
drym 龙泉市
dxri 龙泉
pvtm 安徽
ptit 安徽省
wgec 合肥
weym 合肥市
giaq 瑶海区
geit 瑶海
ybaq 庐阳区
yybj 庐阳
lmaq 蜀山区
lqmm 蜀山
qiaq 包河区
qnis 包河
tdeg 长丰县
tadh 长丰
eaeg 肥东县
ecai 肥东
eseg 肥西县
ecsg 肥西
yieg 庐江县
yyia 庐江
weya 合肥高新技术产业开发区
weyn 合肥高新技术产业开发
wexa 合肥经济技术开发区
wexn 合肥经济技术开发
weua 合肥新站高新技术产业开发区
weun 合肥新站高新技术产业开发
viym 巢湖市
vjid 巢湖
afid 芜湖
aiym 芜湖市
qiaq 镜湖区
quid 镜湖
viaq 鸠江区
vqia 鸠江
aiaq 弋江区
agia 弋江
iiaq 湾沚区
iyih 湾沚
tjaq 繁昌区
txjj 繁昌
fbeg 南陵县
fmbf 南陵
aixa 芜湖经济技术开发区
aixn 芜湖经济技术开发
ptaa 安徽芜湖三山经济开发区
ptan 安徽芜湖三山经济开发
fyym 无为市
fqyl 无为
jdfw 蚌埠
jfym 蚌埠市
dbia 龙子湖区
dbid 龙子湖
jmaq 蚌山区
jdmm 蚌山
twaq 禹会区
tkwf 禹会
ihaq 淮上区
iwhh 淮上
nfeg 怀远县
ngfq 怀远
gieg 五河县
ggis 五河
lqeg 固镇县
ldqf 固镇
jfya 蚌埠市高新技术开发区
jfyn 蚌埠高新技术开发
jfya 蚌埠市经济开发区
jfxn 蚌埠经济开发
iwfm 淮南
ifym 淮南市
dcaq 大通区
ddce 大通
lpya 田家庵区
lpyd 田家庵
ypwa 谢家集区
ypwy 谢家集
wwma 八公山区
wwmm 八公山
iwaq 潘集区
itwy 潘集
mceg 凤台县
mcck 凤台
dteg 寿县
camm 马鞍山
camy 马鞍山市
amaq 花山区
awmm 花山
fmaq 雨山区
fgmm 雨山
fyaq 博望区
fgyn 博望
iieg 当涂县
iviw 当涂
wmeg 含山县
wymm 含山
tkeg 和县
iwux 淮北
iuym 淮北市
swaq 杜集区
sfwy 杜集
smaq 相山区
shmm 相山
gmaq 烈山区
gqmm 烈山
iieg 濉溪县
ihie 濉溪
qmbf 铜陵
qbym 铜陵市
qpaq 铜官区
qmpn 铜官
ypaq 义安区
yqpv 义安
sbeg 枞阳县
swbj 枞阳
pvyd 安庆
pyym 安庆市
qiaq 迎江区
qbia 迎江
dcaq 大观区
ddcm 大观
ptaq 宜秀区
pete 宜秀
npeg 怀宁县
ngps 怀宁
dieg 太湖县
dyid 太湖
pseg 宿松县
pwsw 宿松
yieg 望江县
ynia 望江
rseg 岳西县
rgsg 岳西
ptpa 安徽安庆经济开发区
ptpn 安徽安庆经济开发
sfym 桐城市
smfd 桐城
imym 潜山市
ifmm 潜山
ammm 黄山
amym 黄山市
giaq 屯溪区
gbie 屯溪
amaq 黄山区
tyaq 徽州区
tmyt 徽州
wgeg 歙县
wpeg 休宁县
wsps 休宁
lfeg 黟县
pueg 祁门县
pyuy 祁门
ibyt 滁州
iyym 滁州市
ggaq 琅琊区
gyga 琅琊
fyaq 南谯区
fmyw 南谯
gpeg 来安县
gopv 来安
wseg 全椒县
wgsh 全椒
pfeg 定远县
pgfq 定远
mbeg 凤阳县
mcbj 凤阳
kuaa 中新苏滁高新技术产业开发区
kuan 中新苏滁高新技术产业开发
iyxa 滁州经济技术开发区
iyxn 滁州经济技术开发
gtym 天长市
gdta 天长
jiym 明光市
jeiq 明光
wnbj 阜阳
wbym 阜阳市
xyaq 颍州区
xiyt 颍州
xaaq 颍东区
xiai 颍东
xraq 颍泉区
xiri 颍泉
jreg 临泉县
jtri 临泉
dteg 太和县
wfeg 阜南县
wnfm 阜南
xheg 颍上县
xihh 颍上
wbwa 阜阳合肥现代产业园区
wbwl 阜阳合肥现代产业园
wbxa 阜阳经济技术开发区
wbxn 阜阳经济技术开发
luym 界首市
lwut 界首
pwyt 宿州
pyym 宿州市
fsaq 埇桥区
fcst 埇桥
dmeg 砀山县
dnmm 砀山
aveg 萧县
vneg 灵璧县
vonk 灵璧
ileg 泗县
pyca 宿州马鞍山现代产业园区
pycl 宿州马鞍山现代产业园
pyxa 宿州经济技术开发区
pyxn 宿州经济技术开发
uypv 六安
upym 六安市
qpaq 金安区
qqpv 金安
ppaq 裕安区
pupv 裕安
kwaq 叶集区
kfwy 叶集
freg 霍邱县
fwrg 霍邱
wfeg 舒城县
wffd 舒城
qpeg 金寨县
qqpf 金寨
fmeg 霍山县
fwmm 霍山
ypyt 亳州
yyym 亳州市
yfaq 谯城区
ywfd 谯城
ibeg 涡阳县
ikbj 涡阳
afeg 蒙城县
apfd 蒙城
tueg 利辛县
tjuy 利辛
ibyt 池州
iyym 池州市
kiaq 贵池区
khib 贵池
ageg 东至县
aigc 东至
dceg 石台县
dgck 石台
gbeg 青阳县
gebj 青阳
pgfd 宣城
pfym 宣城市
pyaq 宣州区
pgyt 宣州
yieg 郎溪县
yvie 郎溪
iceg 泾县
xieg 绩溪县
xgie 绩溪
yteg 旌德县
yttf 旌德
pfya 宣城市经济开发区
pfxn 宣城经济开发
plym 宁国市
pslg 宁国
ytym 广德市
yytf 广德
pyvf 福建
pvit 福建省
pyyt 福州
pyym 福州市
ciaq 台江区
ckia 台江
wmaq 仓山区
wbmm 仓山
cnaq 马尾区
cnnt 马尾
gpaq 晋安区
gopv 晋安
tqaq 长乐区
taqi 长乐
uweg 闽侯县
ujwn 闽侯
lieg 连江县
lpia 连江
lieg 罗源县
lqid 罗源
uieg 闽清县
ujig 闽清
ydeg 永泰县
yndw 永泰
gieg 平潭县
guis 平潭
piym 福清市
pyig 福清
dduy 厦门
duym 厦门市
ljaq 思明区
lnje 思明
iiaq 海沧区
itiw 海沧
ijaq 湖里区
idjf 湖里
wuaq 集美区
wyug 集美
mpaq 同安区
mgpv 同安
upaq 翔安区
udpv 翔安
agll 莆田
alym 莆田市
fdaq 城厢区
fdds 城厢
iiaq 涵江区
ibia 涵江
afaq 荔城区
alfd 荔城
tmaq 秀屿区
temg 秀屿
wieg 仙游县
wmiy 仙游
dgje 三明
djym 三明市
dfaq 三元区
dgfq 三元
ieaq 沙县区
jieg 明溪县
jeie 明溪
iieg 清流县
igiy 清流
pweg 宁化县
pswx 宁化
dleg 大田县
ddll 大田
dieg 尤溪县
dnie 尤溪
uqeg 将乐县
uqqi 将乐
dpeg 泰宁县
dwps 泰宁
vpeg 建宁县
vfps 建宁
ypym 永安市
ynpv 永安
riyt 泉州
ryym 泉州市
qfaq 鲤城区
qgfd 鲤城
diaq 丰泽区
dhic 丰泽
iiaq 洛江区
itia 洛江
riaq 泉港区
riia 泉港
gpeg 惠安县
gjpv 惠安
pieg 安溪县
pvie 安溪
ydeg 永春县
yndw 永春
tweg 德化县
tfwx 德化
queg 金门县
qquy 金门
dqym 石狮市
dgqt 石狮
giym 晋江市
goia 晋江
fpym 南安市
fmpv 南安
iuyt 漳州
iyym 漳州市
afaq 芗城区
axfd 芗城
dyaq 龙文区
dxyy 龙文
diaq 龙海区
dxit 龙海
tdaq 长泰区
tadw 长泰
ffeg 云霄县
fcfi 云霄
iieg 漳浦县
iuig 漳浦
ypeg 诏安县
yvpv 诏安
ameg 东山县
fueg 南靖县
fmug 南靖
gteg 平和县
gutk 平和
wpeg 华安县
wxpv 华安
fmgu 南平
fgym 南平市
tgaq 延平区
thgu 延平
vbaq 建阳区
vfbj 建阳
kjeg 顺昌县
kdjj 顺昌
ifeg 浦城县
igfd 浦城
iieg 光泽县
iqic 光泽
sieg 松溪县
swie 松溪
gteg 政和县
ghtk 政和
vgym 邵武市
vkga 邵武
ggmy 武夷山市
ggmm 武夷山
vaym 建瓯市
vfaq 建瓯
dxmd 龙岩
dmym 龙岩市
ulaq 新罗区
uslq 新罗
ypaq 永定区
ynpg 永定
tieg 长汀县
tais 长汀
hseg 上杭县
hhsy 上杭
ggeg 武平县
gagu 武平
lfeg 连城县
lpfd 连城
igym 漳平市
iugu 漳平
pstf 宁德
ptym 宁德市
afaq 蕉城区
awfd 蕉城
fieg 霞浦县
fnig 霞浦
dleg 古田县
dgll 古田
nfeg 屏南县
nufm 屏南
dpeg 寿宁县
dtps 寿宁
mpeg 周宁县
mfps 周宁
saeg 柘荣县
sdap 柘荣
ppym 福安市
pypv 福安
phym 福鼎市
pyhn 福鼎
iasg 江西
isit 江西省
fmjj 南昌
fjym 南昌市
aiaq 东湖区
aiid 东湖
gfya 青云谱区
gfyu 青云谱
gmia 青山湖区
gmid 青山湖
uvaq 新建区
usvf 新建
xwia 红谷滩区
xwic 红谷滩
fjeg 南昌县
pyeg 安义县
pvyq 安义
fjeg 进贤县
fjjc 进贤
jtqf 景德镇
jtqy 景德镇市
jiaq 昌江区
jjia 昌江
gmaq 珠山区
grmm 珠山
iieg 浮梁县
ieiv 浮梁
qgym 乐平市
qigu 乐平
aixt 萍乡
axym 萍乡市
piaq 安源区
pvid 安源
iaaq 湘东区
isai 湘东
aaeg 莲花县
alaw 莲花
hseg 上栗县
hhss 上栗
aieg 芦溪县
ayie 芦溪
vtia 九江
viym 九江市
iiaq 濂溪区
iyie 濂溪
ibaq 浔阳区
ivbj 浔阳
hcaq 柴桑区
hxcc 柴桑
gpeg 武宁县
gaps 武宁
wieg 修水县
whii 修水
yweg 永修县
ynwh 永修
tpeg 德安县
tfpv 德安
fjeg 都昌县
ftjj 都昌
ikeg 湖口县
idkk 湖口
fieg 彭泽县
fkic 彭泽
gjym 瑞昌市
gmjj 瑞昌
agfy 共青城市
agfd 共青城
ymym 庐山市
yymm 庐山
uswt 新余
uwym 新余市
iiaq 渝水区
iwii 渝水
wpeg 分宜县
wvpe 分宜
ywis 鹰潭
yiym 鹰潭市
eiaq 月湖区
eeid 月湖
wiaq 余江区
wtia 余江
kiym 贵溪市
khie 贵溪
ujyt 赣州
uyym 赣州市
uaaq 章贡区
ujam 章贡
fyaq 南康区
fmyv 南康
ueaq 赣县区
wdeg 信丰县
wydh 信丰
dweg 大余县
ddwt 大余
hqeg 上犹县
hhqt 上犹
myeg 崇义县
mpyq 崇义
pfeg 安远县
pvfq 安远
pfeg 定南县
pgfm 定南
wfeg 全南县
wgfm 全南
pfeg 宁都县
psft 宁都
gfeg 于都县
gfft 于都
ileg 兴国县
iwlg 兴国
wjeg 会昌县
wfjj 会昌
vqeg 寻乌县
vfqn 寻乌
dfeg 石城县
dgfd 石城
gqym 瑞金市
gmqq 瑞金
dfym 龙南市
dxfm 龙南
fkpv 吉安
fpym 吉安市
fyaq 吉州区
fkyt 吉州
gdaq 青原区
gedr 青原
fpeg 吉安县
fieg 吉水县
fkii 吉水
mieg 峡江县
mgia 峡江
ufeg 新干县
usfg 新干
ydeg 永丰县
yndh 永丰
dteg 泰和县
dwtk 泰和
ukeg 遂川县
uekt 遂川
dpeg 万安县
dnpv 万安
ppeg 安福县
pvpy 安福
yueg 永新县
ynus 永新
fmmy 井冈山市
fmmm 井冈山
pedw 宜春
pdym 宜春市
fyaq 袁州区
fkyt 袁州
dueg 奉新县
dwus 奉新
dfeg 万载县
dnfa 万载
hyeg 上高县
hhym 上高
pdeg 宜丰县
pedh 宜丰
upeg 靖安县
ugpv 靖安
qfeg 铜鼓县
qmfk 铜鼓
dfym 丰城市
dhfd 丰城
ssym 樟树市
susc 樟树
ypym 高安市
ympv 高安
rfyt 抚州
ryym 抚州市
jkaq 临川区
jtkt 临川
axaq 东乡区
aixt 东乡
ffeg 南城县
fmfd 南城
tkeg 黎川县
tqkt 黎川
fdeg 南丰县
fmdh 南丰
mweg 崇仁县
mpwf 崇仁
qpeg 乐安县
qipv 乐安
paeg 宜黄县
peam 宜黄
qieg 金溪县
qqie 金溪
uieg 资溪县
uqie 资溪
yjeg 广昌县
yyjj 广昌
hhqn 上饶
hqym 上饶市
wyaq 信州区
wyyt 信州
ydaq 广丰区
yydh 广丰
ywaq 广信区
yywy 广信
gmeg 玉山县
gymm 玉山
qmeg 铅山县
qmmm 铅山
smeg 横峰县
samt 横峰
abeg 弋阳县
agbj 弋阳
wfeg 余干县
wtfg 余干
tbeg 鄱阳县
tobj 鄱阳
dreg 万年县
dnrh 万年
cieg 婺源县
cbid 婺源
tiym 德兴市
tfiw 德兴
mmai 山东
mait 山东省
iyfm 济南
ifym 济南市
dgaq 历下区
dlgh 历下
ykaq 市中区
saaq 槐荫区
srab 槐荫
gsaq 天桥区
gdst 天桥
dfaq 历城区
dlfd 历城
tiaq 长清区
taig 长清
uraq 章丘区
ujrg 章丘
ibaq 济阳区
iybj 济阳
aaaq 莱芜区
agaf 莱芜
qfaq 钢城区
qmfd 钢城
gbeg 平阴县
gube 平阴
uieg 商河县
umis 商河
ifya 济南高新技术产业开发区
ifyn 济南高新技术产业开发
geqy 青岛
gqym 青岛市
yfaq 市南区
yuaq 市北区
aqaq 黄岛区
amqy 黄岛
mmaq 崂山区
mamm 崂山
siaq 李沧区
sbiw 李沧
fbaq 城阳区
fdbj 城阳
vlaq 即墨区
vclf 即墨
eyym 胶州市
euyt 胶州
gyym 平度市
guya 平度
asym 莱西市
agsg 莱西
ivfg 淄博
ifym 淄博市
ikaq 淄川区
ivkt 淄川
xyaq 张店区
xtyh 张店
fmaq 博山区
fgmm 博山
jiaq 临淄区
jtiv 临淄
msaq 周村区
mfsf 周村
sceg 桓台县
sgck 桓台
ygeg 高青县
ymge 高青
iieg 沂源县
irid 沂源
gmyf 枣庄
gyym 枣庄市
afaq 薛城区
awfd 薛城
mfaq 峄城区
mcfd 峄城
cqya 台儿庄区
cqyf 台儿庄
myaq 山亭区
mmyp 山亭
eyym 滕州市
euyt 滕州
aiap 东营
aaym 东营市
aaaq 东营区
ikaq 河口区
iskk 河口
vtaq 垦利区
vetj 垦利
tieg 利津县
tjiv 利津
yqeg 广饶县
yyqn 广饶
aaxa 东营经济技术开发区
aaxn 东营经济技术开发
aaia 东营港经济开发区
aain 东营港经济开发
olck 烟台
ocym 烟台市
alaq 芝罘区
aplg 芝罘
pmaq 福山区
pymm 福山
cgaq 牟平区
crgu 牟平
amaq 莱山区
agmm 莱山
aaaq 蓬莱区
atag 蓬莱
ocya 烟台高新技术产业开发区
ocyn 烟台高新技术产业开发
ocxa 烟台经济技术开发区
ocxn 烟台经济技术开发
dkym 龙口市
dxkk 龙口
abym 莱阳市
agbj 莱阳
ayym 莱州市
agyt 莱州
rfym 招远市
rvfq 招远
sfym 栖霞市
ibym 海阳市
itbj 海阳
ixfy 潍坊
ifym 潍坊市
ifaq 潍城区
ixfd 潍城
pyaq 寒亭区
pfyp 寒亭
fbaq 坊子区
fybb 坊子
dyaq 奎文区
dfyy 奎文
jeeg 临朐县
jteq 临朐
jqeg 昌乐县
jjqi 昌乐
ifia 潍坊滨海经济技术开发区
ifin 潍坊滨海经济技术开发
gyym 青州市
geyt 青州
yfym 诸城市
yffd 诸城
diym 寿光市
dtiq 寿光
prym 安丘市
pvrg 安丘
ypym 高密市
ympn 高密
jkym 昌邑市
iyps 济宁
ipym 济宁市
wfaq 任城区
wtfd 任城
uyaq 兖州区
ucyt 兖州
tmeg 微山县
tmmm 微山
qceg 鱼台县
qgck 鱼台
qxeg 金乡县
qqxt 金乡
fpeg 嘉祥县
fkpy 嘉祥
iheg 汶上县
iyhh 汶上
iieg 泗水县
ilii 泗水
imeg 梁山县
ivmm 梁山
ipya 济宁高新技术产业开发区
ipyn 济宁高新技术产业开发
mwym 曲阜市
mawn 曲阜
qfym 邹城市
qvfd 邹城
dwpv 泰安
dpym 泰安市
dmaq 泰山区
dwmm 泰山
wraq 岱岳区
warg 岱岳
pbeg 宁阳县
psbj 宁阳
ageg 东平县
aigu 东平
udym 新泰市
usdw 新泰
efym 肥城市
ecfd 肥城
dgit 威海
diym 威海市
gnaq 环翠区
ggny 环翠
ywaq 文登区
yywg 文登
dioa 威海火炬高技术产业开发区
dion 威海火炬高技术产业开发
dixa 威海经济技术开发区
dixn 威海经济技术开发
dija 威海临港经济技术开发区
dijn 威海临港经济技术开发
adym 荣成市
apdn 荣成
emym 乳山市
ebmm 乳山
jjjv 日照
jjym 日照市
aiaq 东港区
mmaq 岚山区
mmmm 岚山
gaeg 五莲县
ggal 五莲
akeg 莒县
jjxa 日照经济技术开发区
jjxn 日照经济技术开发
jtir 临沂
jiym 临沂市
umaq 兰山区
ufmm 兰山
lyaq 罗庄区
lqyf 罗庄
ifeg 沂南县
irfm 沂南
ofeg 郯城县
oofd 郯城
iieg 沂水县
irii 沂水
ubeg 兰陵县
ufbf 兰陵
xjeg 费县
gkeg 平邑县
gukc 平邑
afeg 莒南县
akfm 莒南
abeg 蒙阴县
apbe 蒙阴
jieg 临沭县
jtis 临沭
jiya 临沂高新技术产业开发区
jiyn 临沂高新技术产业开发
tfyt 德州
tyym 德州市
tfaq 德城区
tffd 德城
bfaq 陵城区
bffd 陵城
pieg 宁津县
psiv 宁津
yfeg 庆云县
